舞踏	名詞	普通名詞	サ変可能	*	*	*	ブトウ	舞踏	舞踏	ブトー	ブトウ	漢	舞踏	ブトー	ブトウ	ブトウ	*	*	*	*	*	*	0	C2	*
会	名詞	普通名詞	一般	*	*	*	カイ	会	会	カイ	カイ	漢	会	カイ	カイ	カイ	カ濁	基本形	*	*	*	*	1	C3	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
明治	名詞	固有名詞	一般	*	*	*	メイジ	明治	明治	メージ	メイジ	固	明治	メージ	メイジ	メイジ	*	*	*	*	*	*	1	*	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
九	名詞	数詞	*	*	*	*	キュウ	九	九	キュー	キュウ	漢	九	キュー	キュウ	キュウ	*	*	*	*	*	*	1	C3	*
年	名詞	普通名詞	助数詞可能	*	*	*	ネン	年	年	ネン	ネン	漢	年	ネン	ネン	ネン	*	*	*	*	*	B4WW7G9G	1	C3	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
月	名詞	普通名詞	助数詞可能	*	*	*	ガツ	月	月	ガツ	ガツ	漢	月	ガツ	ガツ	ガツ	*	*	*	ツ促	基本形	B4G7G9G	1	C3	*
三	名詞	数詞	*	*	*	*	ミ	三	三	ミッ	ミッ	和	三	ミッ	ミッ	ミ	*	*	N3	イ長促添	促音添加形	*	1	C3	*
日	接尾辞	名詞的	助数詞	*	*	*	カ	日	日	カ	カ	和	日	カ	カ	カ	*	*	*	*	*	D	*	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
夜	名詞	普通名詞	一般	*	*	*	ヨ	夜	夜	ヨ	ヨ	和	夜	ヨ	ヨ	ヨ	*	*	*	*	*	*	1	C3	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
あつ	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	アル	有る	あつ	アッ	アッ	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
当時	名詞	普通名詞	副詞可能	*	*	*	トウジ	当時	当時	トージ	トウジ	漢	当時	トージ	トウジ	トウジ	*	*	*	*	*	*	1	C1	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
七	名詞	数詞	*	*	*	*	ナナ	七	七	ナナ	ナナ	和	七	ナナ	ナナ	ナナ	*	*	*	*	*	*	1	C3	*
歳	接尾辞	名詞的	助数詞	*	*	*	サイ	歳	歳	サイ	サイ	漢	歳	サイ	サイ	サイ	サ濁	基本形	*	*	*	B1S8SjS	*	C3	*
だつ	助動詞	*	*	*	助動詞-ダ	連用形-促音便	ダ	だ	だつ	ダッ	ダッ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	M2@1
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
―	補助記号	一般	*	*	*	*	﻿		―			記号	―				*	*	*	*	*	*	*	*	*
―	補助記号	一般	*	*	*	*	﻿		―			記号	―				*	*	*	*	*	*	*	*	*
家	名詞	普通名詞	一般	*	*	*	イエ	家	家	イエ	イエ	和	家	イエ	イエ	イエ	*	*	*	*	*	*	2	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
令嬢	名詞	普通名詞	一般	*	*	*	レイジョウ	令嬢	令嬢	レージョー	レイジョウ	漢	令嬢	レージョー	レイジョウ	レイジョウ	*	*	*	*	*	*	0	C2	*
｜	補助記号	一般	*	*	*	*		｜	｜			記号	｜				*	*	*	*	*	*	*	*	*
明子	名詞	固有名詞	人名	名	*	*	メイシ	メイシ	明子	メーシ	メイシ	固	明子	メーシ	メイシ	メイシ	*	*	*	*	*	*	1	*	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
頭	名詞	普通名詞	一般	*	*	*	アタマ	頭	頭	アタマ	アタマ	和	頭	アタマ	アタマ	アタマ	*	*	*	*	*	*	"2	3"	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
禿げ	動詞	一般	*	*	下一段-ガ行	連用形-一般	ハゲル	禿げる	禿げ	ハゲ	ハゲ	和	禿げる	ハゲル	ハゲル	ハゲル	*	*	*	*	*	*	2	C1	M4@1
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
父親	名詞	普通名詞	一般	*	*	*	チチオヤ	父親	父親	チチオヤ	チチオヤ	和	父親	チチオヤ	チチオヤ	チチオヤ	*	*	*	*	*	*	0	C2	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
一しよ	名詞	普通名詞	サ変可能	*	*	*	イッショ	一緒	一しよ	イッショ	イッシヨ	漢	一しよ	イッショ	イッシヨ	イッショ	*	*	*	*	*	*	0	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
今夜	名詞	普通名詞	副詞可能	*	*	*	コンヤ	今夜	今夜	コンヤ	コンヤ	漢	今夜	コンヤ	コンヤ	コンヤ	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
舞踏	名詞	普通名詞	サ変可能	*	*	*	ブトウ	舞踏	舞踏	ブトー	ブトウ	漢	舞踏	ブトー	ブトウ	ブトウ	*	*	*	*	*	*	0	C2	*
会	名詞	普通名詞	一般	*	*	*	カイ	会	会	カイ	カイ	漢	会	カイ	カイ	カイ	カ濁	基本形	*	*	*	*	1	C3	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
催	名詞	普通名詞	一般	*	*	*	モヨオシ	催し	催	モヨーシ	モヨオシ	和	催	モヨーシ	モヨオシ	モヨオシ	*	*	*	*	*	*	0	C2	*
さる	動詞	一般	*	*	文語ラ行変格	連体形-一般	サル	然る	さる	サル	サル	和	さり	サリ	サリ	サリ	*	*	*	*	*	*	1	C1	*
べき	助動詞	*	*	*	文語助動詞-ベシ	連体形-一般	ベシ	べし	べき	ベキ	ベキ	和	べし	ベシ	ベシ	ベシ	*	*	*	*	*	*	*	動詞%F2@1	*
鹿鳴	名詞	普通名詞	一般	*	*	*	ロクメイ	鹿鳴	鹿鳴	ロクメー	ロクメイ	漢	鹿鳴	ロクメー	ロクメイ	ロクメイ	*	*	*	*	*	*	0	C2	*
館	接尾辞	名詞的	一般	*	*	*	カン	館	館	カン	カン	漢	館	カン	カン	カン	*	*	*	*	*	*	*	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
階段	名詞	普通名詞	一般	*	*	*	カイダン	階段	階段	カイダン	カイダン	漢	階段	カイダン	カイダン	カイダン	*	*	*	*	*	*	0	C2	*
