偸盗	名詞	普通名詞	一般	*	*	*	チュウトウ	偸盗	偸盗	チュートー	チュウトウ	漢	偸盗	チュートー	チュウトウ	チュウトウ	*	*	*	*	*	*	0	C2	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
「	補助記号	括弧開	*	*	*	*		「	「			記号	「				*	*	*	*	*	*	*	*	*
おば	名詞	普通名詞	一般	*	*	*	オバ	伯母	おば	オバ	オバ	和	おば	オバ	オバ	オバ	*	*	*	*	*	*	0	C4	*
ば	助詞	接続助詞	*	*	*	*	バ	ば	ば	バ	バ	和	ば	バ	バ	バ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
猪熊	名詞	固有名詞	地名	一般	*	*	イノクマ	イノクマ	猪熊	イノクマ	イノクマ	固	猪熊	イノクマ	イノクマ	イノクマ	*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
お	接頭辞	*	*	*	*	*	オ	御	お	オ	オ	和	お	オ	オ	オ	*	*	*	促添	基本形	*	*	P2	*
ばば	名詞	普通名詞	一般	*	*	*	ババ	馬場	ばば	ババ	ババ	混	ばば	ババ	ババ	ババ	*	*	*	*	*	*	"1	0"	C3	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
」	補助記号	括弧閉	*	*	*	*		」	」			記号	」				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
朱雀	名詞	普通名詞	一般	*	*	*	スザク	朱雀	朱雀	スザカ	スザカ	漢	朱雀	スザカ	スザカ	スザカ	*	*	*	*	*	*	1	C1	*
綾小路	名詞	固有名詞	地名	一般	*	*	アヤノコウジ	アヤノコウジ	綾小路	アヤノコージノ	アヤノコウジノ	固	綾小路	アヤノコージノ	アヤノコウジノ	アヤノコウジノ	*	*	*	*	*	*	4	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
辻	名詞	普通名詞	一般	*	*	*	ツジ	辻	辻	ツジ	ツジ	和	辻	ツジ	ツジ	ツジ	*	*	*	*	*	*	0	C3	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
じみ	形状詞	一般	*	*	*	*	ジミ	地味	じみ	ジミ	ジミ	漢	じみ	ジミ	ジミ	ジミ	*	*	*	*	*	*	2	C3	*
な	助動詞	*	*	*	助動詞-ダ	連体形-一般	ダ	だ	な	ナ	ナ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
紺	名詞	普通名詞	一般	*	*	*	コン	紺	紺	コン	コン	漢	紺	コン	コン	コン	*	*	*	*	*	*	1	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
水干	名詞	普通名詞	一般	*	*	*	スイカン	水干	水干	スイカン	スイカン	漢	水干	スイカン	スイカン	スイカン	*	*	*	*	*	*	0	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
揉	動詞	一般	*	*	文語四段-マ行	連用形-一般	モム	揉む	揉	モミ	モミ	和	揉む	モム	モム	モム	*	*	*	*	*	*	0	C4	*
烏帽子	名詞	普通名詞	一般	*	*	*	エボシ	烏帽子	烏帽子	エボシ	エボシ	漢	烏帽子	エボシ	エボシ	エボシ	*	*	*	*	*	*	"0	1"	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
かけ	動詞	非自立可能	*	*	文語下二段-カ行	連用形-一般	カケル	掛ける	かけ	カケ	カケ	和	かく	カク	カク	カク	カ濁	基本形	*	*	*	*	1	C1	*
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
二十	名詞	数詞	*	*	*	*	ニジュウ	二十	二十	ニジュー	ニジュウ	漢	二十	ニジュー	ニジュウ	ニジュウ	*	*	Nj	十促	基本形	*	1	C1	*
ばかり	助詞	副助詞	*	*	*	*	バカリ	ばかり	ばかり	バカリ	バカリ	和	ばかり	バカリ	バカリ	バカリ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F2@1	名詞%F2@1"	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
醜い	形容詞	一般	*	*	形容詞	終止形-一般	ミニクイ	醜い	醜い	ミニクイ	ミニクイ	和	醜い	ミニクイ	ミニクイ	ミニクイ	*	*	*	*	*	*	3	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
片目	名詞	普通名詞	一般	*	*	*	カタメ	片目	片目	カタメ	カタメ	和	片目	カタメ	カタメ	カタメ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
侍	名詞	普通名詞	一般	*	*	*	サムライ	侍	侍	サムライ	サムライ	和	侍	サムライ	サムライ	サムライ	サ濁	基本形	*	*	*	*	0	C2	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
平	名詞	普通名詞	一般	*	*	*	ヘイ	平	平	ヘー	ヘイ	漢	平	ヘー	ヘイ	ヘイ	*	*	*	*	*	*	1	C3	*
骨	接尾辞	名詞的	一般	*	*	*	コツ	骨	骨	コツ	コツ	漢	骨	コツ	コツ	コツ	*	*	*	*	*	*	*	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
扇	名詞	普通名詞	一般	*	*	*	オウギ	扇	扇	オーギ	オウギ	和	扇	オーギ	オウギ	オウギ	*	*	*	*	*	*	"3	0"	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
上げ	動詞	非自立可能	*	*	文語下二段-ガ行	連用形-一般	アゲル	上げる	上げ	アゲ	アゲ	和	上ぐ	アグ	アグ	アグ	*	*	*	*	*	*	0	C4	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
通りかかり	動詞	一般	*	*	文語四段-ラ行	連用形-一般	トオリカカル	通り掛かる	通りかかり	トーリカカリ	トオリカカリ	和	通りかかる	トーリカカル	トオリカカル	トオリカカル	*	*	*	*	*	*	"5	0"	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
老婆	名詞	普通名詞	一般	*	*	*	ロウバ	老婆	老婆	ローバ	ロウバ	漢	老婆	ローバ	ロウバ	ロウバ	*	*	*	*	*	*	1	C1	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
