牛肉	名詞	普通名詞	一般	*	*	*	ギュウニク	牛肉	牛肉	ギューニク	ギュウニク	漢	牛肉	ギューニク	ギュウニク	ギュウニク	*	*	*	*	*	*	0	C2	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
馬鈴薯	名詞	普通名詞	一般	*	*	*	ジャガイモ	ジャガ芋	馬鈴薯	ジャガイモ	ジャガイモ	混	馬鈴薯	ジャガイモ	ジャガイモ	ジャガイモ	*	*	*	*	*	*	0	C2	*
国木田	名詞	固有名詞	人名	姓	*	*	クニキダ	クニキダ	国木田	クニキダ	クニキダ	固	国木田	クニキダ	クニキダ	クニキダ	*	*	*	*	*	*	0	*	*
独歩	名詞	固有名詞	人名	名	*	*	ドッポ	ドッポ	独歩	ドッポ	ドッポ	固	独歩	ドッポ	ドッポ	ドッポ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
明治	名詞	固有名詞	一般	*	*	*	メイジ	明治	明治	メージ	メイジ	固	明治	メージ	メイジ	メイジ	*	*	*	*	*	*	1	*	*
｜	補助記号	一般	*	*	*	*		｜	｜			記号	｜				*	*	*	*	*	*	*	*	*
倶楽部	名詞	普通名詞	一般	*	*	*	クラブ	クラブ-club	倶楽部	クラブ	クラブ	外	倶楽部	クラブ	クラブ	クラブ	*	*	*	*	*	*	1	C1	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
芝	名詞	固有名詞	人名	姓	*	*	シバ	シバ	芝	シバ	シバ	固	芝	シバ	シバ	シバ	*	*	*	*	*	*	"1	0"	*	*
区	接尾辞	名詞的	一般	*	*	*	ク	区	区	ク	ク	漢	区	ク	ク	ク	*	*	*	*	*	*	*	C3	*
桜田	名詞	固有名詞	地名	一般	*	*	サクラダ	サクラダ	桜田	サクラダ	サクラダ	固	桜田	サクラダ	サクラダ	サクラダ	*	*	*	*	*	*	0	*	*
本郷	名詞	固有名詞	地名	一般	*	*	ホンゴウ	ホンゴウ	本郷	ホンゴー	ホンゴウ	固	本郷	ホンゴー	ホンゴウ	ホンゴウ	*	*	*	*	*	*	1	*	*
町	名詞	普通名詞	一般	*	*	*	マチ	町	町	マチ	マチ	和	町	マチ	マチ	マチ	*	*	*	*	*	*	2	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
お	接頭辞	*	*	*	*	*	オ	御	お	オ	オ	和	お	オ	オ	オ	*	*	*	促添	基本形	*	*	P2	*
堀	名詞	普通名詞	一般	*	*	*	ホリ	堀	堀	ホリ	ホリ	和	堀	ホリ	ホリ	ホリ	ホ濁	基本形	*	*	*	*	2	C3	*
辺	接尾辞	名詞的	一般	*	*	*	ベ	辺	辺	ベ	ベ	和	辺	ベ	ベ	ベ	*	*	*	*	*	*	*	C4	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
西洋	名詞	普通名詞	一般	*	*	*	セイヨウ	西洋	西洋	セーヨー	セイヨウ	漢	西洋	セーヨー	セイヨウ	セイヨウ	*	*	*	*	*	*	1	C1	*
｜	補助記号	一般	*	*	*	*		｜	｜			記号	｜				*	*	*	*	*	*	*	*	*
作	名詞	普通名詞	一般	*	*	*	サク	作	作	サク	サク	漢	作	サク	サク	サク	*	*	*	*	*	*	"0	2	1"	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
余り	副詞	*	*	*	*	*	アマリ	余り	余り	アマリ	アマリ	和	余り	アマリ	アマリ	アマリ	*	*	*	*	*	*	0	*	*
立派	形状詞	一般	*	*	*	*	リッパ	立派	立派	リッパ	リッパ	漢	立派	リッパ	リッパ	リッパ	*	*	*	*	*	*	0	C2	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
ない	形容詞	非自立可能	*	*	形容詞	終止形-一般	ナイ	無い	ない	ナイ	ナイ	和	ない	ナイ	ナイ	ナイ	*	*	*	*	*	*	1	C3	*
が	助詞	接続助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
それ	代名詞	*	*	*	*	*	ソレ	其れ	それ	ソレ	ソレ	和	それ	ソレ	ソレ	ソレ	*	*	*	*	*	*	0	*	*
で	助詞	格助詞	*	*	*	*	デ	で	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
可	名詞	普通名詞	形状詞可能	*	*	*	カ	可	可	カ	カ	漢	可	カ	カ	カ	*	*	*	*	*	*	1	C4	*
なり	助動詞	*	*	*	文語助動詞-ナリ-断定	終止形-一般	ナリ	なり-断定	なり	ナリ	ナリ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
建物	名詞	普通名詞	一般	*	*	*	タテモノ	建物	建物	タテモノ	タテモノ	和	建物	タテモノ	タテモノ	タテモノ	*	*	*	*	*	*	"2	3"	C1	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
あっ	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	アル	有る	あっ	アッ	アッ	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
建物	名詞	普通名詞	一般	*	*	*	タテモノ	建物	建物	タテモノ	タテモノ	和	建物	タテモノ	タテモノ	タテモノ	*	*	*	*	*	*	"2	3"	C1	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
今	名詞	普通名詞	副詞可能	*	*	*	イマ	今	今	イマ	イマ	和	今	イマ	イマ	イマ	*	*	*	*	*	*	1	C3	*
で	助詞	格助詞	*	*	*	*	デ	で	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
ある	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	アル	有る	ある	アル	アル	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
しかし	接続詞	*	*	*	*	*	シカシ	然し	しかし	シカシ	シカシ	和	しかし	シカシ	シカシ	シカシ	*	*	*	*	*	*	2	*	*
持主	名詞	普通名詞	一般	*	*	*	モチヌシ	持ち主	持主	モチヌシ	モチヌシ	和	持主	モチヌシ	モチヌシ	モチヌシ	*	*	*	*	*	*	2	C1	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
代っ	動詞	一般	*	*	文語四段-ラ行	連用形-促音便	カワル	変わる	代っ	カワッ	カワッ	和	代る	カワル	カワル	カワル	*	*	*	*	*	*	0	C2	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
今	名詞	普通名詞	副詞可能	*	*	*	イマ	今	今	イマ	イマ	和	今	イマ	イマ	イマ	*	*	*	*	*	*	1	C3	*
で	助詞	格助詞	*	*	*	*	デ	で	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
