奉教	名詞	普通名詞	一般	*	*	*	ホウキョウ	奉教	奉教	ホーキョー	ホウキョウ	漢	奉教	ホーキョー	ホウキョウ	ホウキョウ	*	*	*	*	*	*	0	C2	*
人	接尾辞	名詞的	一般	*	*	*	ニン	人	人	ニン	ニン	漢	人	ニン	ニン	ニン	*	*	*	*	*	*	*	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
死	名詞	普通名詞	一般	*	*	*	シ	死	死	シ	シ	漢	死	シ	シ	シ	*	*	*	*	*	*	1	C3	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
たとひ	副詞	*	*	*	*	*	タトエ	仮令	たとひ	タトイ	タトヒ	和	たとひ	タトイ	タトヒ	タトイ	*	*	*	*	*	*	"0	2"	*	*
三百	名詞	数詞	*	*	*	*	サンビャク	三百	三百	サンビャク	サンビャク	漢	三百	サンビャク	サンビャク	サンビャク	*	*	Nh	ク促	基本形	*	1	C1	*
歳	接尾辞	名詞的	助数詞	*	*	*	サイ	歳	歳	サイ	サイ	漢	歳	サイ	サイ	サイ	サ濁	基本形	*	*	*	B1S8SjS	*	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
齢	名詞	普通名詞	一般	*	*	*	ヨワイ	齢	齢	ヨワイ	ヨワイ	和	齢	ヨワイ	ヨワイ	ヨワイ	*	*	*	*	*	*	"0	2"	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
保ち	動詞	一般	*	*	文語四段-タ行	連用形-一般	タモツ	保つ	保ち	タモチ	タモチ	和	保つ	タモツ	タモツ	タモツ	*	*	*	*	*	*	2	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
楽しみ	名詞	普通名詞	一般	*	*	*	タノシミ	楽しみ	楽しみ	タノシミ	タノシミ	和	楽しみ	タノシミ	タノシミ	タノシミ	*	*	*	*	*	*	"3	4	0"	C1	*
身	名詞	普通名詞	一般	*	*	*	ミ	身	身	ミ	ミ	和	身	ミ	ミ	ミ	*	*	*	*	*	*	0	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
余る	動詞	非自立可能	*	*	文語四段-ラ行	終止形-一般	アマル	余る	余る	アマル	アマル	和	余る	アマル	アマル	アマル	*	*	*	*	*	*	2	C1	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
