十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
三	名詞	数詞	*	*	*	*	サン	三	三	サン	サン	漢	三	サン	サン	サン	*	*	N3	*	*	*	0	C3	*
夜	名詞	普通名詞	助数詞可能	*	*	*	ヤ	夜	夜	ヤ	ヤ	漢	夜	ヤ	ヤ	ヤ	*	*	*	*	*	*	1	C1	*
樋口	名詞	固有名詞	人名	姓	*	*	ヒグチ	ヒグチ	樋口	ヒグチ	ヒグチ	固	樋口	ヒグチ	ヒグチ	ヒグチ	*	*	*	*	*	*	1	*	*
一葉	名詞	固有名詞	人名	名	*	*	イチヨウ	イチヨウ	一葉	イチヨー	イチヨウ	固	一葉	イチヨー	イチヨウ	イチヨウ	*	*	*	*	*	*	2	*	*
※	補助記号	一般	*	*	*	*		※	※			記号	※				*	*	*	*	*	*	*	*	*
上	名詞	普通名詞	副詞可能	*	*	*	ウエ	上	上	ウエ	ウエ	和	上	ウエ	ウエ	ウエ	*	*	*	*	*	*	"0	2"	C4	*
※	補助記号	一般	*	*	*	*		※	※			記号	※				*	*	*	*	*	*	*	*	*
例	名詞	普通名詞	一般	*	*	*	レイ	例	例	レー	レイ	漢	例	レー	レイ	レイ	*	*	*	*	*	*	1	C3	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
威勢	名詞	普通名詞	一般	*	*	*	イセイ	威勢	威勢	イセー	イセイ	漢	威勢	イセー	イセイ	イセイ	*	*	*	*	*	*	0	C2	*
よき	形容詞	非自立可能	*	*	文語形容詞-ク	連体形-一般	ヨイ	良い	よき	ヨキ	ヨキ	和	よし	ヨシ	ヨシ	ヨシ	*	*	*	*	*	*	1	C3	*
黒ぬり	名詞	普通名詞	一般	*	*	*	クロヌリ	黒塗り	黒ぬり	クロヌリ	クロヌリ	和	黒ぬり	クロヌリ	クロヌリ	クロヌリ	*	*	*	*	*	*	0	C2	*
車	名詞	普通名詞	一般	*	*	*	クルマ	車	車	クルマ	クルマ	和	車	クルマ	クルマ	クルマ	ク濁	基本形	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
