かんかん	副詞	*	*	*	*	*	カンカン	かんかん	かんかん	カンカン	カンカン	和	かんかん	カンカン	カンカン	カンカン	*	*	*	*	*	*	"1	0"	*	*
虫	名詞	普通名詞	一般	*	*	*	ムシ	虫	虫	ムシ	ムシ	和	虫	ムシ	ムシ	ムシ	*	*	*	*	*	*	0	C3	*
有島	名詞	固有名詞	人名	姓	*	*	アリシマ	アリシマ	有島	アリシマ	アリシマ	固	有島	アリシマ	アリシマ	アリシマ	*	*	*	*	*	*	0	*	*
武郎	名詞	固有名詞	人名	名	*	*	タケオ	タケオ	武郎	タケオ	タケオ	固	武郎	タケオ	タケオ	タケオ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
ドゥニ	名詞	固有名詞	人名	一般	*	*	ドゥニ	ドゥニ-外国	ドゥニ	ドゥニ	ドゥニ	固	ドゥニ	ドゥニ	ドゥニ	ドゥニ	*	*	*	*	*	*	1	*	*
パー	名詞	固有名詞	人名	一般	*	*	パー	パー-Parr	パー	パー	パー	固	パー	パー	パー	パー	*	*	*	*	*	*	1	*	*
湾	名詞	普通名詞	一般	*	*	*	ワン	湾	湾	ワン	ワン	漢	湾	ワン	ワン	ワン	*	*	*	*	*	*	1	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
水	名詞	普通名詞	一般	*	*	*	ミズ	水	水	ミズ	ミズ	和	水	ミズ	ミズ	ミズ	*	*	*	*	*	*	0	C3	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
照り	動詞	一般	*	*	文語四段-ラ行	連用形-一般	テル	照る	照り	テリ	テリ	和	照る	テル	テル	テル	*	*	*	*	*	*	1	C1	*
続く	動詞	非自立可能	*	*	文語四段-カ行	連体形-一般	ツヅク	続く	続く	ツズク	ツヅク	和	続く	ツズク	ツヅク	ツヅク	*	*	*	*	*	*	0	C2	*
八	名詞	数詞	*	*	*	*	ハチ	八	八	ハチ	ハチ	漢	八	ハチ	ハチ	ハチ	ハ半濁	基本形	N8	チ促	基本形	*	2	C3	*
月	名詞	普通名詞	助数詞可能	*	*	*	ガツ	月	月	ガツ	ガツ	漢	月	ガツ	ガツ	ガツ	*	*	*	ツ促	基本形	B4G7G9G	1	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
熱	名詞	普通名詞	一般	*	*	*	ネツ	熱	熱	ネツ	ネツ	漢	熱	ネツ	ネツ	ネツ	*	*	*	*	*	*	2	C3	*
で	助詞	格助詞	*	*	*	*	デ	で	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
煮え立っ	動詞	一般	*	*	文語四段-タ行	連用形-促音便	ニエタツ	煮え立つ	煮え立っ	ニエタッ	ニエタッ	和	煮え立つ	ニエタツ	ニエタツ	ニエタツ	*	*	*	*	*	*	3	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
総て	名詞	普通名詞	副詞可能	*	*	*	スベテ	全て	総て	スベテ	スベテ	和	総て	スベテ	スベテ	スベテ	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
濁っ	動詞	一般	*	*	五段-ラ行	連用形-促音便	ニゴル	濁る	濁っ	ニゴッ	ニゴッ	和	濁る	ニゴル	ニゴル	ニゴル	*	*	*	*	*	*	2	C1	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
複	名詞	普通名詞	一般	*	*	*	フク	複	複	フク	フク	漢	複	フク	フク	フク	*	*	*	*	*	*	2	C3	*
色	名詞	普通名詞	一般	*	*	*	イロ	色	色	イロ	イロ	和	色	イロ	イロ	イロ	*	*	*	*	*	*	2	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
彩	名詞	普通名詞	一般	*	*	*	イロ	色	彩	イロ	イロ	和	彩	イロ	イロ	イロ	*	*	*	*	*	*	2	C4	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
影	名詞	普通名詞	一般	*	*	*	カゲ	影	影	カゲ	カゲ	和	影	カゲ	カゲ	カゲ	*	*	*	*	*	*	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
潜め	動詞	一般	*	*	文語下二段-マ行	連用形-一般	ヒソメル	潜める	潜め	ヒソメ	ヒソメ	和	潜む	ヒソム	ヒソム	ヒソム	*	*	*	*	*	*	2	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
モネー	名詞	固有名詞	人名	一般	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
画	名詞	普通名詞	一般	*	*	*	エ	絵	画	エ	エ	漢	画	エ	エ	エ	*	*	*	*	*	*	1	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
見る	動詞	非自立可能	*	*	文語上一段-マ行	連体形-一般	ミル	見る	見る	ミル	ミル	和	見る	ミル	ミル	ミル	*	*	*	*	*	*	1	C1	*
様	形状詞	助動詞語幹	*	*	*	*	ヨウ	様	様	ヨー	ヨウ	漢	様	ヨー	ヨウ	ヨウ	*	*	*	*	*	*	1	C3	*
な	助動詞	*	*	*	助動詞-ダ	連体形-一般	ダ	だ	な	ナ	ナ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
強烈	形状詞	一般	*	*	*	*	キョウレツ	強烈	強烈	キョーレツ	キョウレツ	漢	強烈	キョーレツ	キョウレツ	キョウレツ	*	*	*	*	*	*	0	C2	*
な	助動詞	*	*	*	助動詞-ダ	連体形-一般	ダ	だ	な	ナ	ナ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
単色	名詞	普通名詞	一般	*	*	*	タンショク	単色	単色	タンショク	タンショク	漢	単色	タンショク	タンショク	タンショク	*	*	*	*	*	*	0	C2	*
ばかり	助詞	副助詞	*	*	*	*	バカリ	ばかり	ばかり	バカリ	バカリ	和	ばかり	バカリ	バカリ	バカリ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F2@1	名詞%F2@1"	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
