きり	助詞	副助詞	*	*	*	*	キリ	きり	きり	キリ	キリ	和	きり	キリ	キリ	キリ	キ濁	基本形	*	*	*	*	*	名詞%F1	*
しと	副詞	*	*	*	*	*	シト	しと	しと	シト	シト	和	しと	シト	シト	シト	*	*	*	*	*	*	1	*	*
ほろ	副詞	*	*	*	*	*	ホロ	ほろ	ほろ	ホロ	ホロ	和	ほろ	ホロ	ホロ	ホロ	*	*	*	*	*	*	2	*	*
上人	名詞	普通名詞	一般	*	*	*	ショウニン	上人	上人	ショーニン	ショウニン	漢	上人	ショーニン	ショウニン	ショウニン	*	*	*	*	*	*	1	C1	*
伝	接尾辞	名詞的	一般	*	*	*	デン	伝	伝	デン	デン	漢	伝	デン	デン	デン	*	*	*	*	*	*	*	C3	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
小序	名詞	普通名詞	一般	*	*	*	ショウジョ	小序	小序	ショージョ	ショウジョ	漢	小序	ショージョ	ショウジョ	ショウジョ	*	*	*	*	*	*	"1	0"	C1	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
これ	代名詞	*	*	*	*	*	コレ	此れ	これ	コレ	コレ	和	これ	コレ	コレ	コレ	*	*	*	*	*	*	0	*	*
