高野	名詞	固有名詞	人名	姓	*	*	タカノ	タカノ	高野	タカノ	タカノ	固	高野	タカノ	タカノ	タカノ	*	*	*	*	*	*	1	*	*
聖	名詞	固有名詞	人名	名	*	*	キヨシ	キヨシ	聖	キヨシ	キヨシ	固	聖	キヨシ	キヨシ	キヨシ	*	*	*	*	*	*	1	*	*
泉	名詞	固有名詞	人名	姓	*	*	イズミ	イズミ	泉	イズミ	イズミ	固	泉	イズミ	イズミ	イズミ	*	*	*	*	*	*	1	*	*
鏡太郎	名詞	固有名詞	人名	名	*	*	キョウタロウ	キョウタロウ	鏡太郎	キョータロー	キョウタロウ	固	鏡太郎	キョータロー	キョウタロウ	キョウタロウ	*	*	*	*	*	*	0	*	*
第	接頭辞	*	*	*	*	*	ダイ	第	第	ダイ	ダイ	漢	第	ダイ	ダイ	ダイ	*	*	*	*	*	*	*	P13	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
「	補助記号	括弧開	*	*	*	*		「	「			記号	「				*	*	*	*	*	*	*	*	*
参謀	名詞	普通名詞	一般	*	*	*	サンボウ	参謀	参謀	サンボー	サンボウ	漢	参謀	サンボー	サンボウ	サンボウ	*	*	*	*	*	*	0	C2	*
本部	名詞	普通名詞	一般	*	*	*	ホンブ	本部	本部	ホンブ	ホンブ	漢	本部	ホンブ	ホンブ	ホンブ	*	*	*	*	*	*	1	C1	*
編纂	名詞	普通名詞	サ変可能	*	*	*	ヘンサン	編纂	編纂	ヘンサン	ヘンサン	漢	編纂	ヘンサン	ヘンサン	ヘンサン	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
地図	名詞	普通名詞	一般	*	*	*	チズ	地図	地図	チズ	チズ	漢	地図	チズ	チズ	チズ	*	*	*	*	*	*	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
又	副詞	*	*	*	*	*	マタ	又	又	マタ	マタ	和	又	マタ	マタ	マタ	*	*	*	*	*	*	0	*	*
繰	動詞	一般	*	*	文語四段-ラ行	連用形-一般	クル	繰る	繰	クリ	クリ	和	繰る	クル	クル	クル	ク濁	基本形	*	*	*	*	1	C1	*
開い	動詞	一般	*	*	文語四段-カ行	連用形-イ音便	ヒラク	開く	開い	ヒライ	ヒライ	和	開く	ヒラク	ヒラク	ヒラク	*	*	*	*	*	*	2	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
見る	動詞	非自立可能	*	*	文語上一段-マ行	連体形-一般	ミル	見る	見る	ミル	ミル	和	見る	ミル	ミル	ミル	*	*	*	*	*	*	1	C1	*
で	助詞	接続助詞	*	*	*	*	テ	て	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
なからう	形容詞	非自立可能	*	*	形容詞	意志推量形	ナイ	無い	なからう	ナカロー	ナカラウ	和	ない	ナイ	ナイ	ナイ	*	*	*	*	*	*	1	C3	M1@1
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
思つ	動詞	一般	*	*	五段-ワア行	連用形-促音便	オモウ	思う	思つ	オモッ	オモツ	和	思ふ	オモウ	オモフ	オモウ	*	*	*	*	*	*	2	C1	*
たけれ	助動詞	*	*	*	文語形容詞-ク	已然形-一般	タイ	たい	たけれ	タケレ	タケレ	和	たし	タシ	タシ	タシ	*	*	*	*	*	*	*	動詞%F4@1	*
ども	助詞	接続助詞	*	*	*	*	ドモ	ども	ども	ドモ	ドモ	和	ども	ドモ	ドモ	ドモ	*	*	*	*	*	*	*	動詞%F2@0	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
余り	副詞	*	*	*	*	*	アマリ	余り	余り	アマリ	アマリ	和	余り	アマリ	アマリ	アマリ	*	*	*	*	*	*	0	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
道	名詞	普通名詞	一般	*	*	*	ミチ	道	道	ミチ	ミチ	和	道	ミチ	ミチ	ミチ	*	*	*	*	*	*	0	C3	*
ぢや	助動詞	*	*	*	助動詞-ダ	連用形-融合	ダ	だ	ぢや	ジャ	ヂヤ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
から	助詞	接続助詞	*	*	*	*	カラ	から	から	カラ	カラ	和	から	カラ	カラ	カラ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
手	名詞	普通名詞	助数詞可能	*	*	*	テ	手	手	テ	テ	和	手	テ	テ	テ	テ濁	基本形	*	*	*	B1SjS	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
触る	動詞	一般	*	*	文語下二段-ラ行	連体形-一般	フレル	触れる	触る	フルル	フルル	和	触る	フル	フル	フル	*	*	*	*	*	*	0	C4	*
さへ	助詞	副助詞	*	*	*	*	サエ	さえ	さへ	サエ	サヘ	和	さへ	サエ	サヘ	サエ	*	*	*	*	*	*	*	"名詞%F2@1	動詞%F2@0	形容詞%F2@-1"	*
暑くるしい	形容詞	一般	*	*	形容詞	終止形-一般	アツクルシイ	熱苦しい	暑くるしい	アツクルシー	アツクルシイ	和	暑くるしい	アツクルシー	アツクルシイ	アツクルシイ	*	*	*	*	*	*	5	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
旅	名詞	普通名詞	サ変可能	*	*	*	タビ	旅	旅	タビ	タビ	和	旅	タビ	タビ	タビ	*	*	*	*	*	*	2	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
法衣	名詞	普通名詞	一般	*	*	*	ホウエ	法衣	法衣	ホーエ	ホウエ	漢	法衣	ホーエ	ホウエ	ホウエ	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
袖	名詞	普通名詞	一般	*	*	*	ソデ	袖	袖	ソデ	ソデ	和	袖	ソデ	ソデ	ソデ	*	*	*	*	*	*	0	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
かゝげ	動詞	一般	*	*	下一段-ガ行	連用形-一般	カカゲル	掲げる	かゝげ	カカゲ	カカゲ	和	かゝげる	カカゲル	カカゲル	カカゲル	*	*	*	*	*	*	"0	3"	C2	M4@1
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
表紙	名詞	普通名詞	一般	*	*	*	ヒョウシ	表紙	表紙	ヒョーシ	ヒョウシ	漢	表紙	ヒョーシ	ヒョウシ	ヒョウシ	ヒ濁	基本形	*	*	*	*	"0	3"	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
附け	動詞	非自立可能	*	*	下一段-カ行	連用形-一般	ツケル	付ける	附け	ツケ	ツケ	和	附ける	ツケル	ツケル	ツケル	ツ濁	基本形	*	*	*	*	2	C1	M4@1
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
折本	名詞	普通名詞	一般	*	*	*	オリホン	折り本	折本	オリホン	オリホン	混	折本	オリホン	オリホン	オリホン	*	*	*	*	*	*	0	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
なつ	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	ナル	成る	なつ	ナッ	ナッ	和	なる	ナル	ナル	ナル	*	*	*	*	*	*	1	C1	*
てる	助動詞	*	*	*	下一段-タ行	連体形-一般	テル	てる	てる	テル	テル	和	てる	テル	テル	テル	*	*	*	*	*	*	*	動詞%F1	*
の	助詞	準体助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
引張り	動詞	一般	*	*	五段-ラ行	連用形-一般	ヒッパル	引っ張る	引張り	ヒッパリ	ヒッパリ	和	引張る	ヒッパル	ヒッパル	ヒッパル	*	*	*	*	*	*	3	C1	*
出し	動詞	非自立可能	*	*	五段-サ行	連用形-一般	ダス	出す	出し	ダシ	ダシ	和	出す	ダス	ダス	ダス	*	*	*	*	*	*	1	C1	*
