舞姫	名詞	普通名詞	一般	*	*	*	マイヒメ	舞姫	舞姫	マイヒメ	マイヒメ	和	舞姫	マイヒメ	マイヒメ	マイヒメ	*	*	*	*	*	*	"0	2"	C2	*
森	名詞	固有名詞	人名	姓	*	*	モリ	モリ	森	モリ	モリ	固	森	モリ	モリ	モリ	*	*	*	*	*	*	0	*	*
鴎外	名詞	固有名詞	人名	名	*	*	オウガイ	オウガイ	鴎外	オーガイ	オウガイ	固	鴎外	オーガイ	オウガイ	オウガイ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
石炭	名詞	普通名詞	一般	*	*	*	セキタン	石炭	石炭	セキタン	セキタン	漢	石炭	セキタン	セキタン	セキタン	*	*	*	*	*	*	3	C2	*
をば	助詞	格助詞	*	*	*	*	ヲバ	をば	をば	オバ	ヲバ	和	をば	オバ	ヲバ	ヲバ	*	*	*	*	*	*	*	*	*
早や	副詞	*	*	*	*	*	ハヤ	早	早や	ハヤ	ハヤ	和	早や	ハヤ	ハヤ	ハヤ	*	*	*	*	*	*	1	*	*
積み	動詞	一般	*	*	文語四段-マ行	連用形-一般	ツム	積む	積み	ツミ	ツミ	和	積む	ツム	ツム	ツム	*	*	*	*	*	*	0	C4	*
果て	動詞	非自立可能	*	*	文語下二段-タ行	連用形-一般	ハテル	果てる	果て	ハテ	ハテ	和	果つ	ハツ	ハツ	ハツ	*	*	*	*	*	*	1	C1	*
つ	助動詞	*	*	*	文語助動詞-ツ	終止形-一般	ツ	つ	つ	ツ	ツ	和	つ	ツ	ツ	ツ	*	*	*	*	*	*	*	動詞%F4@0	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
中等	名詞	普通名詞	一般	*	*	*	チュウトウ	中等	中等	チュートー	チュウトウ	漢	中等	チュートー	チュウトウ	チュウトウ	*	*	*	*	*	*	0	C2	*
室	接尾辞	名詞的	一般	*	*	*	シツ	室	室	シツ	シツ	漢	室	シツ	シツ	シツ	*	*	*	*	*	B1S8SjS	*	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
卓	名詞	普通名詞	一般	*	*	*	ツクエ	机	卓	ツクエ	ツクエ	和	卓	ツクエ	ツクエ	ツクエ	ツ濁	基本形	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
ほとり	名詞	普通名詞	一般	*	*	*	ホトリ	辺	ほとり	ホトリ	ホトリ	和	ほとり	ホトリ	ホトリ	ホトリ	*	*	*	*	*	*	"0	3"	C2	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
いと	副詞	*	*	*	*	*	イト	いと	いと	イト	イト	和	いと	イト	イト	イト	*	*	*	*	*	*	1	*	*
靜	形状詞	一般	*	*	*	*	シズカ	静か	靜	シズカ	シズカ	和	靜	シズカ	シズカ	シズカ	*	*	*	*	*	*	1	C1	*
に	助動詞	*	*	*	文語助動詞-ナリ-断定	連用形-ニ	ナリ	なり-断定	に	ニ	ニ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
熾熱	名詞	普通名詞	一般	*	*	*	シネツ	熾熱	熾熱	シネツ	シネツ	漢	熾熱	シネツ	シネツ	シネツ	*	*	*	*	*	*	0	C2	*
燈	接尾辞	名詞的	一般	*	*	*	トウ	灯	燈	トー	トウ	漢	燈	トー	トウ	トウ	*	*	*	*	*	*	*	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
光	名詞	普通名詞	一般	*	*	*	ヒカリ	光	光	ヒカリ	ヒカリ	和	光	ヒカリ	ヒカリ	ヒカリ	*	*	*	*	*	*	3	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
晴れがましき	形容詞	一般	*	*	文語形容詞-シク	連体形-一般	ハレガマシイ	晴れがましい	晴れがましき	ハレガマシキ	ハレガマシキ	和	晴れがまし	ハレガマシ	ハレガマシ	ハレガマシ	*	*	*	*	*	*	4	C1	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
徒	形状詞	一般	*	*	*	*	イタズラ	徒ら	徒	イタズラ	イタズラ	和	徒	イタズラ	イタズラ	イタズラ	*	*	*	*	*	*	0	C2	*
なり	助動詞	*	*	*	文語助動詞-ナリ-断定	終止形-一般	ナリ	なり-断定	なり	ナリ	ナリ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
今宵	名詞	普通名詞	副詞可能	*	*	*	コヨイ	今宵	今宵	コヨイ	コヨイ	和	今宵	コヨイ	コヨイ	コヨイ	*	*	*	*	*	*	0	C2	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
夜	名詞	普通名詞	一般	*	*	*	ヨ	夜	夜	ヨ	ヨ	和	夜	ヨ	ヨ	ヨ	*	*	*	*	*	*	1	C3	*
毎	接尾辞	名詞的	一般	*	*	*	ゴト	毎	毎	ゴト	ゴト	和	毎	ゴト	ゴト	ゴト	*	*	*	*	*	*	*	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
こゝ	代名詞	*	*	*	*	*	ココ	此処	こゝ	ココ	ココ	和	こゝ	ココ	ココ	ココ	*	*	*	*	*	*	0	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
