蜜柑	名詞	普通名詞	一般	*	*	*	ミカン	蜜柑	蜜柑	ミカン	ミカン	漢	蜜柑	ミカン	ミカン	ミカン	*	*	*	*	*	*	1	C1	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
或	連体詞	*	*	*	*	*	アル	或る	或	アル	アル	和	或	アル	アル	アル	*	*	*	*	*	*	1	*	*
曇つ	動詞	一般	*	*	五段-ラ行	連用形-促音便	クモル	曇る	曇つ	クモッ	クモッ	和	曇る	クモル	クモル	クモル	*	*	*	*	*	*	2	C1	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
冬	名詞	普通名詞	副詞可能	*	*	*	フユ	冬	冬	フユ	フユ	和	冬	フユ	フユ	フユ	*	*	*	*	*	*	2	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
日暮	名詞	普通名詞	一般	*	*	*	ヒグレ	日暮れ	日暮	ヒグレ	ヒグレ	和	日暮	ヒグレ	ヒグレ	ヒグレ	*	*	*	*	*	*	0	C2	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
ある	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	アル	有る	ある	アル	アル	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
私	代名詞	*	*	*	*	*	ワタクシ	私-代名詞	私	ワタクシ	ワタクシ	和	私	ワタクシ	ワタクシ	ワタクシ	*	*	*	*	*	*	0	*	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
横須賀	名詞	固有名詞	地名	一般	*	*	ヨコスカ	ヨコスカ	横須賀	ヨコスカ	ヨコスカ	固	横須賀	ヨコスカ	ヨコスカ	ヨコスカ	*	*	*	*	*	*	0	*	*
發	接尾辞	名詞的	一般	*	*	*	ハツ	発	發	パツ	パツ	漢	發	パツ	パツ	ハツ	ハ半濁	半濁音形	*	*	*	*	*	C3	*
上り	接尾辞	名詞的	一般	*	*	*	アガリ	上がり	上り	アガリ	アガリ	和	上り	アガリ	アガリ	アガリ	*	*	*	*	*	*	1	C1	*
二	名詞	数詞	*	*	*	*	ニ	二	二	ニ	ニ	漢	二	ニ	ニ	ニ	*	*	*	イ長添	基本形	*	1	C3	*
｜	補助記号	一般	*	*	*	*		｜	｜			記号	｜				*	*	*	*	*	*	*	*	*
等	接尾辞	名詞的	一般	*	*	*	トウ	等	等	トー	トウ	漢	等	トー	トウ	トウ	*	*	*	*	*	*	*	C1	*
客車	名詞	普通名詞	一般	*	*	*	キャクシャ	客車	客車	キャクシャ	キャクシャ	漢	客車	キャクシャ	キャクシャ	キャクシャ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
隅	名詞	普通名詞	一般	*	*	*	スミ	隅	隅	スミ	スミ	和	隅	スミ	スミ	スミ	*	*	*	*	*	*	1	C4	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
腰	名詞	普通名詞	一般	*	*	*	コシ	腰	腰	コシ	コシ	和	腰	コシ	コシ	コシ	コ濁	基本形	*	*	*	*	0	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
下し	動詞	一般	*	*	文語四段-サ行	連用形-一般	クダス	下す	下し	クダシ	クダシ	和	下す	クダス	クダス	クダス	*	*	*	*	*	*	0	C2	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
ぼんやり	副詞	*	*	*	*	*	ボンヤリ	ぼんやり	ぼんやり	ボンヤリ	ボンヤリ	和	ぼんやり	ボンヤリ	ボンヤリ	ボンヤリ	*	*	*	*	*	*	3	*	*
發車	名詞	普通名詞	サ変可能	*	*	*	ハッシャ	発車	發車	ハッシャ	ハッシャ	漢	發車	ハッシャ	ハッシャ	ハッシャ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
笛	名詞	普通名詞	一般	*	*	*	フエ	笛	笛	フエ	フエ	和	笛	フエ	フエ	フエ	フ濁	基本形	*	*	*	*	0	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
待つ	動詞	一般	*	*	文語四段-タ行	連用形-促音便	マツ	待つ	待つ	マッ	マッ	和	待つ	マツ	マツ	マツ	*	*	*	*	*	*	1	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
ゐ	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	イル	居る	ゐ	イ	ヰ	和	ゐる	イル	ヰル	イル	*	*	*	*	*	*	0	C4	M4@1
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
