無名	名詞	普通名詞	一般	*	*	*	ムメイ	無名	無名	ムメー	ムメイ	漢	無名	ムメー	ムメイ	ムメイ	*	*	*	*	*	*	0	C2	*
作家	名詞	普通名詞	一般	*	*	*	サッカ	作家	作家	サッカ	サッカ	漢	作家	サッカ	サッカ	サッカ	*	*	*	*	*	*	"0	1"	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
日記	名詞	普通名詞	一般	*	*	*	ニッキ	日記	日記	ニッキ	ニッキ	漢	日記	ニッキ	ニッキ	ニッキ	*	*	*	*	*	*	0	C2	*
菊池	名詞	固有名詞	人名	姓	*	*	キクチ	キクチ	菊池	キクチ	キクチ	固	菊池	キクチ	キクチ	キクチ	*	*	*	*	*	*	0	*	*
寛	名詞	固有名詞	人名	名	*	*	ヒロシ	ヒロシ	寛	ヒロシ	ヒロシ	固	寛	ヒロシ	ヒロシ	ヒロシ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
九	名詞	数詞	*	*	*	*	キュウ	九	九	キュー	キュウ	漢	九	キュー	キュウ	キュウ	*	*	*	*	*	*	1	C3	*
月	名詞	普通名詞	助数詞可能	*	*	*	ガツ	月	月	ガツ	ガツ	漢	月	ガツ	ガツ	ガツ	*	*	*	ツ促	基本形	B4G7G9G	1	C3	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
三	名詞	数詞	*	*	*	*	サン	三	三	サン	サン	漢	三	サン	サン	サン	*	*	N3	*	*	*	0	C3	*
日	名詞	普通名詞	助数詞可能	*	*	*	ニチ	日	日	ニチ	ニチ	漢	日	ニチ	ニチ	ニチ	*	*	*	チ促	基本形	B4WB	1	C3	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
とうとう	副詞	*	*	*	*	*	トウトウ	到頭	とうとう	トートー	トウトウ	漢	とうとう	トートー	トウトウ	トウトウ	*	*	*	*	*	*	1	*	*
京都	名詞	固有名詞	地名	一般	*	*	キョウト	キョウト	京都	キョート	キョウト	固	京都	キョート	キョウト	キョウト	*	*	*	*	*	*	1	*	*
