山椒	名詞	普通名詞	一般	*	*	*	サンショウ	山椒	山椒	サンショー	サンショウ	漢	山椒	サンショー	サンショウ	サンショウ	サ濁	基本形	*	*	*	*	0	C2	*
大夫	名詞	普通名詞	一般	*	*	*	タイフ	大夫	大夫	タイフ	タイフ	漢	大夫	タイフ	タイフ	タイフ	タ濁	基本形	*	*	*	*	1	C1	*
森	名詞	固有名詞	人名	姓	*	*	モリ	モリ	森	モリ	モリ	固	森	モリ	モリ	モリ	*	*	*	*	*	*	0	*	*
鴎外	名詞	固有名詞	人名	名	*	*	オウガイ	オウガイ	鴎外	オーガイ	オウガイ	固	鴎外	オーガイ	オウガイ	オウガイ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
越後	名詞	固有名詞	地名	一般	*	*	エチゴ	エチゴ	越後	エチゴ	エチゴ	固	越後	エチゴ	エチゴ	エチゴ	*	*	*	*	*	*	1	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
春日	名詞	普通名詞	一般	*	*	*	ハルヒ	春日	春日	ハルヒ	ハルヒ	和	春日	ハルヒ	ハルヒ	ハルヒ	*	*	*	*	*	*	0	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
経	動詞	一般	*	*	文語下二段-ハ行	連用形-一般	ヘル	経る	経	ヘ	ヘ	和	経	フ	フ	フ	*	*	*	*	*	*	1	C3	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
今津	名詞	固有名詞	地名	一般	*	*	イマヅ	イマヅ	今津	イマズ	イマヅ	固	今津	イマズ	イマヅ	イマヅ	*	*	*	*	*	*	1	*	*
へ	助詞	格助詞	*	*	*	*	ヘ	へ	へ	エ	ヘ	和	へ	エ	ヘ	ヘ	*	*	*	*	*	*	*	名詞%F1	*
出る	動詞	一般	*	*	文語下二段-ダ行	連体形-一般	イデル	出でる	出る	イズル	イヅル	和	出づ	イズ	イヅ	イズ	*	*	*	*	*	*	1	C3	*
道	名詞	普通名詞	一般	*	*	*	ミチ	道	道	ミチ	ミチ	和	道	ミチ	ミチ	ミチ	*	*	*	*	*	*	0	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
珍らしい	形容詞	一般	*	*	形容詞	連体形-一般	メズラシイ	珍しい	珍らしい	メズラシー	メズラシイ	和	珍らしい	メズラシー	メズラシイ	メズラシイ	*	*	*	*	*	*	4	C1	*
旅人	名詞	普通名詞	一般	*	*	*	タビビト	旅人	旅人	タビビト	タビビト	和	旅人	タビビト	タビビト	タビビト	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
一群れ	名詞	普通名詞	一般	*	*	*	ヒトムレ	一群れ	一群れ	ヒトムレ	ヒトムレ	和	一群れ	ヒトムレ	ヒトムレ	ヒトムレ	*	*	*	*	*	*	2	C1	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
歩い	動詞	一般	*	*	五段-カ行	連用形-イ音便	アルク	歩く	歩い	アルイ	アルイ	和	歩く	アルク	アルク	アルク	*	*	*	*	*	*	2	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
いる	動詞	非自立可能	*	*	文語上一段-ワ行	終止形-一般	イル	居る	いる	イル	イル	和	いる	イル	イル	イル	*	*	*	*	*	*	0	C4	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
母	名詞	普通名詞	一般	*	*	*	ハハ	母	母	ハハ	ハハ	和	母	ハハ	ハハ	ハハ	*	*	*	*	*	*	1	C3	*
