少年	名詞	普通名詞	一般	*	*	*	ショウネン	少年	少年	ショーネン	ショウネン	漢	少年	ショーネン	ショウネン	ショウネン	*	*	*	*	*	*	0	C2	*
谷崎	名詞	固有名詞	人名	姓	*	*	タニザキ	タニザキ	谷崎	タニザキ	タニザキ	固	谷崎	タニザキ	タニザキ	タニザキ	*	*	*	*	*	*	2	*	*
潤一郎	名詞	固有名詞	人名	名	*	*	ジュンイチロウ	ジュンイチロウ	潤一郎	ジュンイチロー	ジュンイチロウ	固	潤一郎	ジュンイチロー	ジュンイチロウ	ジュンイチロウ	*	*	*	*	*	*	3	*	*
もう	副詞	*	*	*	*	*	モウ	もう	もう	モー	モウ	和	もう	モー	モウ	モウ	*	*	*	*	*	*	"0	1"	*	*
彼れ此れ	代名詞	*	*	*	*	*	カレコレ	彼此	彼れ此れ	カレコレ	カレコレ	和	彼れ此れ	カレコレ	カレコレ	カレコレ	*	*	*	*	*	*	1	*	*
二十	名詞	数詞	*	*	*	*	ニジュウ	二十	二十	ニジュー	ニジュウ	漢	二十	ニジュー	ニジュウ	ニジュウ	*	*	Nj	十促	基本形	*	1	C1	*
年	名詞	普通名詞	助数詞可能	*	*	*	ネン	年	年	ネン	ネン	漢	年	ネン	ネン	ネン	*	*	*	*	*	B4WW7G9G	1	C3	*
ばかり	助詞	副助詞	*	*	*	*	バカリ	ばかり	ばかり	バカリ	バカリ	和	ばかり	バカリ	バカリ	バカリ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F2@1	名詞%F2@1"	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
前	名詞	普通名詞	副詞可能	*	*	*	マエ	前	前	マエ	マエ	和	前	マエ	マエ	マエ	*	*	*	*	*	*	1	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
なろう	動詞	非自立可能	*	*	五段-ラ行	意志推量形	ナル	成る	なろう	ナロー	ナロウ	和	なる	ナル	ナル	ナル	*	*	*	*	*	*	1	C1	M1@1
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
漸く	副詞	*	*	*	*	*	ヨウヤク	漸く	漸く	ヨーヤク	ヨウヤク	和	漸く	ヨーヤク	ヨウヤク	ヨウヤク	*	*	*	*	*	*	0	*	*
私	代名詞	*	*	*	*	*	ワタクシ	私-代名詞	私	ワタクシ	ワタクシ	和	私	ワタクシ	ワタクシ	ワタクシ	*	*	*	*	*	*	0	*	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
ぐらい	助詞	副助詞	*	*	*	*	クライ	くらい	ぐらい	グライ	グライ	和	ぐらい	グライ	グライ	グライ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F2@1	名詞%F4@1"	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
蠣殻町	名詞	固有名詞	地名	一般	*	*	カキガラチョウ	カキガラチョウ	蠣殻町	カキガラチョー	カキガラチョウ	固	蠣殻町	カキガラチョー	カキガラチョウ	カキガラチョウ	*	*	*	*	*	*	4	*	*
