空知	名詞	固有名詞	地名	一般	*	*	ソラチ	ソラチ	空知	ソラチ	ソラチ	固	空知	ソラチ	ソラチ	ソラチ	*	*	*	*	*	*	1	*	*
川	名詞	普通名詞	一般	*	*	*	カワ	川	川	カワ	カワ	和	川	カワ	カワ	カワ	カ濁	基本形	*	*	*	*	2	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
岸辺	名詞	普通名詞	一般	*	*	*	キシベ	岸辺	岸辺	キシベ	キシベ	和	岸辺	キシベ	キシベ	キシベ	*	*	*	*	*	*	"0	3"	C2	*
國木田	名詞	固有名詞	人名	姓	*	*	クニキダ	クニキダ	國木田	クニキダ	クニキダ	固	國木田	クニキダ	クニキダ	クニキダ	*	*	*	*	*	*	0	*	*
独歩	名詞	固有名詞	人名	名	*	*	ドッポ	ドッポ	独歩	ドッポ	ドッポ	固	独歩	ドッポ	ドッポ	ドッポ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
余	代名詞	*	*	*	*	*	ヨ	余-代名詞	余	ヨ	ヨ	漢	余	ヨ	ヨ	ヨ	*	*	*	*	*	*	"1	0"	*	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
札幌	名詞	固有名詞	地名	一般	*	*	サッポロ	サッポロ	札幌	サッポロ	サッポロ	固	札幌	サッポロ	サッポロ	サッポロ	*	*	*	*	*	*	0	*	*
