すみだ	名詞	固有名詞	地名	一般	*	*	スミダ	スミダ	すみだ	スミダ	スミダ	固	すみだ	スミダ	スミダ	スミダ	*	*	*	*	*	*	0	*	*
川	記号	一般	*	*	*	*	カワ	カワ	川	カワ	カワ	記号	川	カワ	カワ	カワ	*	*	*	*	*	*	2	*	*
永井	名詞	固有名詞	人名	姓	*	*	ナガイ	ナガイ	永井	ナガイ	ナガイ	固	永井	ナガイ	ナガイ	ナガイ	*	*	*	*	*	*	1	*	*
荷風	名詞	固有名詞	人名	名	*	*	カフウ	カフウ	荷風	カフー	カフウ	固	荷風	カフー	カフウ	カフウ	*	*	*	*	*	*	1	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
俳諧	名詞	普通名詞	一般	*	*	*	ハイカイ	俳諧	俳諧	ハイカイ	ハイカイ	漢	俳諧	ハイカイ	ハイカイ	ハイカイ	*	*	*	*	*	*	0	C2	*
師	接尾辞	名詞的	一般	*	*	*	シ	師	師	シ	シ	漢	師	シ	シ	シ	シ濁	基本形	*	*	*	*	*	C3	*
松風	名詞	普通名詞	一般	*	*	*	マツカゼ	松風	松風	マツカゼ	マツカゼ	和	松風	マツカゼ	マツカゼ	マツカゼ	*	*	*	*	*	*	"2	3"	C1	*
庵	名詞	固有名詞	人名	姓	*	*	イオリ	イオリ	庵	イオリ	イオリ	固	庵	イオリ	イオリ	イオリ	*	*	*	*	*	*	1	*	*
蘿月	名詞	固有名詞	人名	名	*	*	ラゲツ	ラゲツ	蘿月	ラゲツ	ラゲツ	固	蘿月	ラゲツ	ラゲツ	ラゲツ	*	*	*	*	*	*	1	*	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
今	名詞	普通名詞	副詞可能	*	*	*	イマ	今	今	イマ	イマ	和	今	イマ	イマ	イマ	*	*	*	*	*	*	1	C3	*
戸	名詞	普通名詞	一般	*	*	*	ト	戸	戸	ト	ト	和	戸	ト	ト	ト	ト濁	基本形	*	*	*	*	0	C3	*
で	助詞	格助詞	*	*	*	*	デ	で	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
常磐津	名詞	普通名詞	一般	*	*	*	トキワズ	常磐津	常磐津	トキワズ	トキワズ	和	常磐津	トキワズ	トキワズ	トキワズ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
師匠	名詞	普通名詞	一般	*	*	*	シショウ	師匠	師匠	シショー	シショウ	漢	師匠	シショー	シショウ	シショウ	*	*	*	*	*	*	"1	2"	C1	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
し	動詞	非自立可能	*	*	文語サ行変格	連用形-一般	スル	為る	し	シ	シ	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
