夢	名詞	普通名詞	一般	*	*	*	ユメ	夢	夢	ユメ	ユメ	和	夢	ユメ	ユメ	ユメ	*	*	*	*	*	*	2	C3	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
夜	接尾辞	名詞的	一般	*	*	*	ヤ	夜	夜	ヤ	ヤ	漢	夜	ヤ	ヤ	ヤ	*	*	*	*	*	*	*	C3	*
夏目	名詞	固有名詞	人名	姓	*	*	ナツメ	ナツメ	夏目	ナツメ	ナツメ	固	夏目	ナツメ	ナツメ	ナツメ	*	*	*	*	*	*	0	*	*
漱石	名詞	固有名詞	人名	名	*	*	ソウセキ	ソウセキ	漱石	ソーセキ	ソウセキ	固	漱石	ソーセキ	ソウセキ	ソウセキ	*	*	*	*	*	*	1	*	*
第	接頭辞	*	*	*	*	*	ダイ	第	第	ダイ	ダイ	漢	第	ダイ	ダイ	ダイ	*	*	*	*	*	*	*	P13	*
一夜	名詞	普通名詞	副詞可能	*	*	*	イチヤ	一夜	一夜	イチヤ	イチヤ	漢	一夜	イチヤ	イチヤ	イチヤ	*	*	*	*	*	*	2	C1	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
こんな	連体詞	*	*	*	*	*	コンナ	こんな	こんな	コンナ	コンナ	和	こんな	コンナ	コンナ	コンナ	*	*	*	*	*	*	0	*	*
夢	名詞	普通名詞	一般	*	*	*	ユメ	夢	夢	ユメ	ユメ	和	夢	ユメ	ユメ	ユメ	*	*	*	*	*	*	2	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
見	動詞	非自立可能	*	*	文語上一段-マ行	連用形-一般	ミル	見る	見	ミ	ミ	和	見る	ミル	ミル	ミル	*	*	*	*	*	*	1	C1	*
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
腕組	名詞	普通名詞	一般	*	*	*	ウデグミ	腕組み	腕組	ウデグミ	ウデグミ	和	腕組	ウデグミ	ウデグミ	ウデグミ	*	*	*	*	*	*	"3	4	0"	C1	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
し	動詞	非自立可能	*	*	文語サ行変格	連用形-一般	スル	為る	し	シ	シ	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
枕元	名詞	普通名詞	一般	*	*	*	マクラモト	枕元	枕元	マクラモト	マクラモト	和	枕元	マクラモト	マクラモト	マクラモト	*	*	*	*	*	*	3	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
坐っ	動詞	一般	*	*	文語四段-ラ行	連用形-促音便	スワル	座る	坐っ	スワッ	スワッ	和	坐る	スワル	スワル	スワル	*	*	*	*	*	*	0	C2	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
いる	動詞	非自立可能	*	*	上一段-ア行	連体形-一般	イル	居る	いる	イル	イル	和	いる	イル	イル	イル	*	*	*	*	*	*	0	C4	*
