文鳥	名詞	普通名詞	一般				ブンチョウ	文鳥	文鳥	ブンチョー	文鳥	ブンチョー	漢							体	ブンチョウ	ブンチョウ	ブンチョウ	ブンチョウ	0	1	C2		9241678732993024	33621
夏目	名詞	固有名詞	人名	姓			ナツメ	ナツメ	夏目	ナツメ	夏目	ナツメ	固							姓	ナツメ	ナツメ	ナツメ	ナツメ	0			7666628326203904	27891
漱石	名詞	固有名詞	人名	名			ソウセキ	ソウセキ	漱石	ソーセキ	漱石	ソーセキ	固							名	ソウセキ	ソウセキ	ソウセキ	ソウセキ	1			5795809291543040	21085
　	空白							　	　		　		記号							補助								6330815488512	23
十	名詞	数詞					ジュウ	十	十	ジュー	十	ジュー	漢			十促	基本形	Nj		数	ジュウ	ジュウ	ジュウ	ジュウ	1	C3		4990975369945600	18157
月	名詞	普通名詞	助数詞可能				ガツ	月	月	ガツ	月	ガツ	漢			ツ促	基本形		B4G7G9G	体	ガツ	ガツ	ガツ	ガツ	1	C3		2232300695855616	8121
｜	補助記号	一般						｜	｜		｜		記号							補助								23699981760340480	86220
早稲田	名詞	固有名詞	地名	一般			ワセダ	ワセダ	早稲田	ワセダ	早稲田	ワセダ	固							地名	ワセダ	ワセダ	ワセダ	ワセダ	1			11343944965300736	41269
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
わせ	名詞	普通名詞	一般				ワセ	早生	わせ	ワセ	わせ	ワセ	和							体	ワセ	ワセ	ワセ	ワセ	1	C3		19320077224649216	70286
だ	助動詞				助動詞-ダ	終止形-一般	ダ	だ	だ	ダ	だ	ダ	和							助動	ダ	ダ	ダ	ダ		名詞%F1		6299110739157675	22916
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
に	助詞	格助詞					ニ	に	に	ニ	に	ニ	和							格助	ニ	ニ	ニ	ニ		名詞%F1		7745518285496832	28178
移る	動詞	一般			五段-ラ行	終止形-一般	ウツル	移る	移る	ウツル	移る	ウツル	和							用	ウツル	ウツル	ウツル	ウツル	2	C1		906830872191659	3299
。	補助記号	句点						。	。		。		記号							補助								6880571302400	25
伽藍	名詞	普通名詞	一般				ガラン	伽藍	伽藍	ガラン	伽藍	ガラン	外							体	ガラン	ガラン	ガラン	ガラン	0	1	C2		2242737466384896	8159
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
がらん	副詞						ガラン	がらん	がらん	ガラン	がらん	ガラン	和							相	ガラン	ガラン	ガラン	ガラン	2			13687279121998336	49794
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
の	助詞	格助詞					ノ	の	の	ノ	の	ノ	和							格助	ノ	ノ	ノ	ノ		名詞%F1		7968444268028416	28989
よう	形状詞	助動詞語幹					ヨウ	様	よう	ヨー	よう	ヨー	漢							助動	ヨウ	ヨウ	ヨウ	ヨウ	1	C3		10720796750258688	39002
な	助動詞				助動詞-ダ	連体形-一般	ダ	だ	な	ナ	だ	ダ	和							助動	ナ	ダ	ナ	ダ		名詞%F1		6299110739157697	22916
書斎	名詞	普通名詞	一般				ショサイ	書斎	書斎	ショサイ	書斎	ショサイ	漢							体	ショサイ	ショサイ	ショサイ	ショサイ	0	C2		4667435483537920	16980
に	助詞	格助詞					ニ	に	に	ニ	に	ニ	和							格助	ニ	ニ	ニ	ニ		名詞%F1		7745518285496832	28178
ただ	副詞						タダ	唯	ただ	タダ	ただ	タダ	和							相	タダ	タダ	タダ	タダ	1			6141605698478592	22343
一人	名詞	普通名詞	副詞可能				ヒトリ	一人	一人	ヒトリ	一人	ヒトリ	和							体	ヒトリ	ヒトリ	ヒトリ	ヒトリ	2	C1		8679278568940032	31575
、	補助記号	読点						、	、		、		記号							補助								6605693395456	24
片づけ	動詞	一般			下一段-カ行	連用形-一般	カタヅケル	片付ける	片づけ	カタズケ	片づける	カタズケル	和							用	カタヅケ	カタヅケル	カタヅケ	カタヅケル	4	C1	M4@1	1827122071085697	6647
た	助動詞				助動詞-タ	連体形-一般	タ	た	た	タ	た	タ	和							助動	タ	タ	タ	タ		動詞%F2@1	形容詞%F4@-2		5948916285711041	21642
顔	名詞	普通名詞	一般				カオ	顔	顔	カオ	顔	カオ	和	カ濁	基本形					体	カオ	カオ	カオ	カオ	0	C3		1645152963797504	5985
を	助詞	格助詞					ヲ	を	を	オ	を	オ	和							格助	ヲ	ヲ	ヲ	ヲ		動詞%F2@0	名詞%F1	形容詞%F2@-1		11381878116459008	41407
頬杖	名詞	普通名詞	一般				ホオヅエ	頬杖	頬杖	ホーズエ	頬杖	ホーズエ	和							体	ホオヅエ	ホオヅエ	ホオヅエ	ホオヅエ	0	3	C2		18405008638878208	66957
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
ほおづえ	名詞	普通名詞	一般				ホオヅエ	頬杖	ほおづえ	ホーズエ	ほおづえ	ホーズエ	和							体	ホオヅエ	ホオヅエ	ホオヅエ	ホオヅエ	0	3	C2		18405008672432640	66957
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
で	助詞	格助詞					デ	で	で	デ	で	デ	和							格助	デ	デ	デ	デ		動詞%F2@0	名詞%F1		7014343053025792	25518
支え	動詞	一般			下一段-ア行	連用形-一般	ササエル	支える	支え	ササエ	支える	ササエル	和							用	ササエ	ササエル	ササエ	ササエル	0	3	C2	M4@1	3874962511372929	14097
て	助詞	接続助詞					テ	て	て	テ	て	テ	和							接助	テ	テ	テ	テ		動詞%F1	形容詞%F2@-1		6837321680953856	24874
いる	動詞	非自立可能			上一段-ア行	終止形-一般	イル	居る	いる	イル	いる	イル	和							用	イル	イル	イル	イル	0	C4		710568013079211	2585
と	助詞	接続助詞					ト	と	と	ト	と	ト	和							接助	ト	ト	ト	ト		形容詞%F2@-1	動詞%F1		7098730570457600	25825
、	補助記号	読点						、	、		、		記号							補助								6605693395456	24
三重吉	名詞	固有名詞	人名	名			ミエキチ	ミエキチ	三重吉	ミエキチ	三重吉	ミエキチ	固							名	ミエキチ	ミエキチ	ミエキチ	ミエキチ	0			22607067202331136	82244
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
みえ	名詞	固有名詞	地名	一般			ミエ	ミエ	みえ	ミエ	みえ	ミエ	固							地名	ミエ	ミエ	ミエ	ミエ	1			9965982051344896	36256
きち	名詞	普通名詞	一般				キチ	基地	きち	キチ	きち	キチ	漢							体	キチ	キチ	キチ	キチ	1	2	C1		2376603040621056	8646
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
が	助詞	格助詞					ガ	が	が	ガ	が	ガ	和							格助	ガ	ガ	ガ	ガ		動詞%F2@0	名詞%F1		2168520431510016	7889
来	動詞	非自立可能			カ行変格	連用形-一般	クル	来る	来	キ	来る	クル	和							用	キ	クル	キ	クル	1	C1		2891174482420353	10518
て	助詞	接続助詞					テ	て	て	テ	て	テ	和							接助	テ	テ	テ	テ		動詞%F1	形容詞%F2@-1		6837321680953856	24874
、	補助記号	読点						、	、		、		記号							補助								6605693395456	24
鳥	名詞	普通名詞	一般				トリ	鳥	鳥	トリ	鳥	トリ	和	ト濁	基本形					体	トリ	トリ	トリ	トリ	0	C3		7353542423749120	26752
を	助詞	格助詞					ヲ	を	を	オ	を	オ	和							格助	ヲ	ヲ	ヲ	ヲ		動詞%F2@0	名詞%F1	形容詞%F2@-1		11381878116459008	41407
御	接頭辞						ゴ	御	御	ゴ	御	ゴ	漢							接頭	ゴ	ゴ	ゴ	ゴ		P1		3664680912560640	13332
｜	補助記号	一般						｜	｜		｜		記号							補助								23699981760340480	86220
飼	接尾辞	名詞的	サ変可能				カイ	飼い	飼	ガイ	飼	ガイ	和	カ濁	濁音形					接尾体	ガイ	ガイ	ガイ	カイ		C4		43882342321897984	159643
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
か	助詞	終助詞					カ	か	か	カ	か	カ	和							終助	カ	カ	カ	カ		動詞%F2@0	形容詞%F2@-1	名詞%F1		1530803687399936	5569
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
い	動詞	非自立可能			上一段-ア行	連用形-一般	イル	居る	い	イ	いる	イル	和							用	イ	イル	イ	イル	0	C4	M4@1	710568013079169	2585
なさい	動詞	非自立可能			五段-ラ行	命令形	ナサル	為さる	なさい	ナサイ	なさる	ナサル	和							用	ナサイ	ナサル	ナサイ	ナサル	2	C1		7646012483183394	27816
と	助詞	格助詞					ト	と	と	ト	と	ト	和							格助	ト	ト	ト	ト		名詞%F1	動詞%F1	形容詞%F2@-1		7099014038299136	25826
云う	動詞	一般			五段-ワア行	終止形-一般	イウ	言う	云う	イウ	云う	イウ	和							用	イウ	イウ	イウ	イウ	0	C2		431841848992427	1571
。	補助記号	句点						。	。		。		記号							補助								6880571302400	25
飼っ	動詞	一般			五段-ワア行	連用形-促音便	カウ	飼う	飼っ	カッ	飼う	カウ	和							用	カッ	カウ	カッ	カウ	1	C1		1636081959314052	5952
て	助詞	接続助詞					テ	て	て	テ	て	テ	和							接助	テ	テ	テ	テ		動詞%F1	形容詞%F2@-1		6837321680953856	24874
も	助詞	係助詞					モ	も	も	モ	も	モ	和							係助	モ	モ	モ	モ		動詞%F2@-1	形容詞%F4@-2	名詞%F1		10324972564259328	37562
いい	形容詞	非自立可能			形容詞	終止形-一般	ヨイ	良い	いい	イー	いい	イー	和							相	イイ	イイ	イイ	イイ	1	C3		10716948459561643	38988
と	助詞	格助詞					ト	と	と	ト	と	ト	和							格助	ト	ト	ト	ト		名詞%F1	動詞%F1	形容詞%F2@-1		7099014038299136	25826
答え	動詞	一般			下一段-ア行	連用形-一般	コタエル	答える	答え	コタエ	答える	コタエル	和							用	コタエ	コタエル	コタエ	コタエル	2	3	C1	M4@1	3505251726533249	12752
た	助動詞				助動詞-タ	終止形-一般	タ	た	た	タ	た	タ	和							助動	タ	タ	タ	タ		動詞%F2@1	形容詞%F4@-2		5948916285711019	21642
。	補助記号	句点						。	。		。		記号							補助								6880571302400	25
しかし	接続詞						シカシ	然し	しかし	シカシ	しかし	シカシ	和							他	シカシ	シカシ	シカシ	シカシ	2			4141319169647104	15066
念	名詞	普通名詞	一般				ネン	念	念	ネン	念	ネン	漢							体	ネン	ネン	ネン	ネン	0	1	C3		7951951593611776	28929
の	助詞	格助詞					ノ	の	の	ノ	の	ノ	和							格助	ノ	ノ	ノ	ノ		名詞%F1		7968444268028416	28989
ため	名詞	普通名詞	副詞可能				タメ	為	ため	タメ	ため	タメ	和							体	タメ	タメ	タメ	タメ	2	C3		6235888820560384	22686
だ	助動詞				助動詞-ダ	終止形-一般	ダ	だ	だ	ダ	だ	ダ	和							助動	ダ	ダ	ダ	ダ		名詞%F1		6299110739157675	22916
から	助詞	接続助詞					カラ	から	から	カラ	から	カラ	和							接助	カラ	カラ	カラ	カラ		動詞%F2@0	形容詞%F2@-1		1984077355950592	7218
、	補助記号	読点						、	、		、		記号							補助								6605693395456	24
何	代名詞						ナニ	何	何	ナニ	何	ナニ	和							体	ナニ	ナニ	ナニ	ナニ	0	1			7674599819059712	27920
を	助詞	格助詞					ヲ	を	を	オ	を	オ	和							格助	ヲ	ヲ	ヲ	ヲ		動詞%F2@0	名詞%F1	形容詞%F2@-1		11381878116459008	41407
飼う	動詞	一般			五段-ワア行	連体形-一般	カウ	飼う	飼う	カウ	飼う	カウ	和							用	カウ	カウ	カウ	カウ	1	C1		1636081959314113	5952
の	助詞	準体助詞					ノ	の	の	ノ	の	ノ	和							準助	ノ	ノ	ノ	ノ		動詞%F2@0	形容詞%F2@-1		7968719145935360	28990
か	助詞	終助詞					カ	か	か	カ	か	カ	和							終助	カ	カ	カ	カ		動詞%F2@0	形容詞%F2@-1	名詞%F1		1530803687399936	5569
ね	助詞	終助詞					ネ	ね	ね	ネ	ね	ネ	和							終助	ネ	ネ	ネ	ネ		動詞%F1	名詞%F1	形容詞%F1		7903847959896576	28754
と	助詞	格助詞					ト	と	と	ト	と	ト	和							格助	ト	ト	ト	ト		名詞%F1	動詞%F1	形容詞%F2@-1		7099014038299136	25826
聞い	動詞	一般			五段-カ行	連用形-イ音便	キク	聞く	聞い	キー	聞く	キク	和							用	キイ	キク	キイ	キク	0	C2		2308708197606018	8399
たら	助動詞				助動詞-タ	仮定形-一般	タ	た	たら	タラ	た	タ	和							助動	タラ	タ	タラ	タ		動詞%F2@1	形容詞%F4@-2	M2@1	5948916285711073	21642
、	補助記号	読点						、	、		、		記号							補助								6605693395456	24
文鳥	名詞	普通名詞	一般				ブンチョウ	文鳥	文鳥	ブンチョー	文鳥	ブンチョー	漢							体	ブンチョウ	ブンチョウ	ブンチョウ	ブンチョウ	0	1	C2		9241678732993024	33621
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
ぶん	名詞	普通名詞	副詞可能				ブン	分	ぶん	ブン	ぶん	ブン	漢							体	ブン	ブン	ブン	ブン	1	C3		9220238289805824	33543
ちょう	名詞	普通名詞	一般				チョウ	蝶	ちょう	チョー	ちょう	チョー	漢							体	チョウ	チョウ	チョウ	チョウ	1	C3		6581960172511744	23945
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
です	助動詞				助動詞-デス	終止形-一般	デス	です	です	デス	です	デス	和							助動	デス	デス	デス	デス		形容詞%F2@-1	動詞%F2@0	名詞%F2@1		7051468750332587	25653
と	助詞	格助詞					ト	と	と	ト	と	ト	和							格助	ト	ト	ト	ト		名詞%F1	動詞%F1	形容詞%F2@-1		7099014038299136	25826
云う	動詞	一般			五段-ワア行	連体形-一般	イウ	言う	云う	イウ	云う	イウ	和							用	イウ	イウ	イウ	イウ	0	C2		431841848992449	1571
