にごりえ	名詞	普通名詞	一般				ニゴリエ	濁り江	にごりえ	ニゴリエ	にごりえ	ニゴリエ	和							体	ニゴリエ	ニゴリエ	ニゴリエ	ニゴリエ	3	C1		17716439549092352	64452
樋口	名詞	固有名詞	人名	姓			ヒグチ	ヒグチ	樋口	ヒグチ	樋口	ヒグチ	固							姓	ヒグチ	ヒグチ	ヒグチ	ヒグチ	1			8596815163302400	31275
一葉	名詞	固有名詞	人名	名			イチヨウ	イチヨウ	一葉	イチヨー	一葉	イチヨー	固							名	イチヨウ	イチヨウ	イチヨウ	イチヨウ	2			19908041034048000	72425
※	補助記号	一般						※	※		※		記号							補助								2207646884352	8
一	名詞	数詞					イチ	一	一	イチ	一	イチ	漢			チ促	基本形	N1		数	イチ	イチ	イチ	イチ	2	C3		563508399972864	2050
※	補助記号	一般						※	※		※		記号							補助								2207646884352	8
おい	感動詞	一般					オイ	おい	おい	オイ	おい	オイ	和							他	オイ	オイ	オイ	オイ	1			1197101908369920	4355
木村	名詞	固有名詞	人名	姓			キムラ	キムラ	木村	キムラ	木村	キムラ	固							姓	キムラ	キムラ	キムラ	キムラ	0			2430479076827648	8842
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
きむら	名詞	固有名詞	人名	姓			キムラ	キムラ	きむら	キムラ	きむら	キムラ	固							姓	キムラ	キムラ	キムラ	キムラ	0			2430479177490944	8842
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
さん	接尾辞	名詞的	一般				サン	さん	さん	サン	さん	サン	和							接尾体	サン	サン	サン	サン		C4		3984363884782080	14495
信	名詞	普通名詞	一般				シン	信	信	シン	信	シン	漢							体	シン	シン	シン	シン	1	C3		4735055448646144	17226
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
しん	名詞	普通名詞	一般				シン	芯	しん	シン	しん	シン	漢							体	シン	シン	シン	シン	1	C3		4738353983529472	17238
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
さん	接尾辞	名詞的	一般				サン	さん	さん	サン	さん	サン	和							接尾体	サン	サン	サン	サン		C4		3984363884782080	14495
寄	名詞	普通名詞	一般			
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
よ	助詞	終助詞					ヨ	よ	よ	ヨ	よ	ヨ	和							終助	ヨ	ヨ	ヨ	ヨ		名詞%F1	動詞%F2@0	形容詞%F2@-1		10714749436305920	38980
》	補助記号	括弧閉						》	》		》		記号							補助								8804716651008	32
つ	助動詞				五段-ワア行	終止形-一般	ツウ	つう	つ	ツ	つう	ツー	和							助動	ツ	ツウ	ツ	ツウ		動詞%F2@0	形容詞%F2@-1	名詞%F1		6700458253100006	24376
て	助詞	接続助詞					テ	て	て	テ	て	テ	和							接助	テ	テ	テ	テ		動詞%F1	形容詞%F2@-1		6837321680953856	24874
お	接頭辞						オ	御	お	オ	お	オ	和			促添	基本形			接頭	オ	オ	オ	オ		P2		1195727518835200	4350
出	動詞	一般			下一段-ダ行	連用形-一般	デル	出る	出	デ	出る	デル	和							用	デ	デル	デ	デル	1	C1	M4@1	7072067447038593	25728
《	補助記号	括弧開						《	《		《		記号							補助								8529838744064	31
いで	感動詞	一般					イデ	いで	いで	イデ	いで	イデ	和							他	イデ	イデ	イデ	イデ	1			630028786344448	2292
