文づかひ	名詞	普通名詞	一般	*	*	*	フミヅカイ	文使い	文づかひ	フミズカイ	フミヅカヒ	和	文づかひ	フミズカイ	フミヅカヒ	フミヅカイ	*	*	*	*	*	*	3	C1	*
森	名詞	固有名詞	人名	姓	*	*	モリ	モリ	森	モリ	モリ	固	森	モリ	モリ	モリ	*	*	*	*	*	*	0	*	*
鴎外	名詞	固有名詞	人名	名	*	*	オウガイ	オウガイ	鴎外	オーガイ	オウガイ	固	鴎外	オーガイ	オウガイ	オウガイ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
それがし	代名詞	*	*	*	*	*	ソレガシ	某	それがし	ソレガシ	ソレガシ	和	それがし	ソレガシ	ソレガシ	ソレガシ	*	*	*	*	*	*	"2	3"	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
宮	名詞	普通名詞	一般	*	*	*	ミヤ	宮	宮	ミヤ	ミヤ	和	宮	ミヤ	ミヤ	ミヤ	*	*	*	*	*	*	0	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
催し	動詞	一般	*	*	文語四段-サ行	連用形-一般	モヨオス	催す	催し	モヨーシ	モヨオシ	和	催す	モヨース	モヨオス	モヨオス	*	*	*	*	*	*	"3	0"	C1	*
たまひ	動詞	非自立可能	*	*	文語四段-ハ行	連用形-一般	タマウ	給う-尊敬	たまひ	タマイ	タマヒ	和	たまふ	タマウ	タマフ	タマウ	*	*	*	*	*	*	2	C1	*
し	助動詞	*	*	*	文語助動詞-キ	連体形-一般	キ	き	し	シ	シ	和	き	キ	キ	キ	*	*	*	*	*	*	*	動詞%F4@0	*
星	名詞	普通名詞	一般	*	*	*	ホシ	星	星	ボシ	ボシ	和	星	ボシ	ボシ	ホシ	ホ濁	濁音形	*	*	*	*	0	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ほし	形容詞	非自立可能	*	*	文語形容詞-シク	終止形-一般	ホシイ	欲しい	ほし	ホシ	ホシ	和	ほし	ホシ	ホシ	ホシ	*	*	*	*	*	*	1	C4	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
岡	名詞	普通名詞	一般	*	*	*	オカ	丘	岡	オカ	オカ	和	岡	オカ	オカ	オカ	*	*	*	*	*	*	0	C4	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
おか	名詞	普通名詞	一般	*	*	*	オカ	陸	おか	オカ	オカ	和	おか	オカ	オカ	オカ	*	*	*	*	*	*	0	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
茶寮	名詞	普通名詞	一般	*	*	*	チャリョウ	茶寮	茶寮	チャリョー	チャリョウ	漢	茶寮	チャリョー	チャリョウ	チャリョウ	*	*	*	*	*	*	"0	1"	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
さ	副詞	*	*	*	*	*	サ	然	さ	サ	サ	和	さ	サ	サ	サ	*	*	*	*	*	*	1	*	*
りょう	名詞	普通名詞	一般	*	*	*	リョウ	量	りょう	リョー	リョウ	漢	りょう	リョー	リョウ	リョウ	*	*	*	*	*	*	1	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
独逸	名詞	固有名詞	地名	国	*	*	ドイツ	ドイツ-Duits	独逸	ドイツ	ドイツ	固	独逸	ドイツ	ドイツ	ドイツ	*	*	*	*	*	*	1	*	*
会	名詞	普通名詞	一般	*	*	*	カイ	会	会	カイ	カイ	漢	会	カイ	カイ	カイ	カ濁	基本形	*	*	*	*	1	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ドイツ	名詞	固有名詞	地名	国	*	*	ドイツ	ドイツ-Duits	ドイツ	ドイツ	ドイツ	固	ドイツ	ドイツ	ドイツ	ドイツ	*	*	*	*	*	*	1	*	*
かい	名詞	普通名詞	助数詞可能	*	*	*	カイ	回	かい	カイ	カイ	漢	かい	カイ	カイ	カイ	*	*	*	*	*	B1S6SjShS	1	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
洋行	名詞	普通名詞	サ変可能	*	*	*	ヨウコウ	洋行	洋行	ヨーコー	ヨウコウ	漢	洋行	ヨーコー	ヨウコウ	ヨウコウ	*	*	*	*	*	*	0	C2	*
がへり	名詞	普通名詞	一般	*	*	*	カエリ	帰り	がへり	ガエリ	ガヘリ	和	がへり	ガエリ	ガヘリ	カエリ	カ濁	濁音形	*	*	*	*	3	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
将校	名詞	普通名詞	一般	*	*	*	ショウコウ	将校	将校	ショーコー	ショウコウ	漢	将校	ショーコー	ショウコウ	ショウコウ	*	*	*	*	*	*	1	C1	*
次	名詞	普通名詞	一般	*	*	*	ツギ	次	次	ツギ	ツギ	和	次	ツギ	ツギ	ツギ	*	*	*	*	*	*	2	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
逐	動詞	一般	*	*	文語四段-ハ行	連用形-一般	オウ	追う	逐	オイ	オヒ	和	逐ふ	オウ	オフ	オウ	*	*	*	*	*	*	0	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
お	記号	一般	*	*	*	*	オ	オ	お	オ	オ	記号	お	オ	オ	オ	*	*	*	*	*	*	1	*	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
