手巾	名詞	普通名詞	一般	*	*	*	ハンカチ	ハンカチ-handkerchief	手巾	ハンケチ	ハンケチ	外	手巾	ハンケチ	ハンケチ	ハンケチ	*	*	*	*	*	*	"0	3	1"	C2	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
東京	名詞	固有名詞	地名	一般	*	*	トウキョウ	トウキョウ	東京	トーキョー	トウキョウ	固	東京	トーキョー	トウキョウ	トウキョウ	*	*	*	*	*	*	0	*	*
帝国	名詞	普通名詞	一般	*	*	*	テイコク	帝国	帝国	テーコク	テイコク	漢	帝国	テーコク	テイコク	テイコク	*	*	*	*	*	*	"0	1"	C2	*
法科	名詞	普通名詞	一般	*	*	*	ホウカ	法科	法科	ホーカ	ホウカ	漢	法科	ホーカ	ホウカ	ホウカ	*	*	*	*	*	*	1	C1	*
大学	名詞	普通名詞	一般	*	*	*	ダイガク	大学	大学	ダイガク	ダイガク	漢	大学	ダイガク	ダイガク	ダイガク	*	*	*	*	*	*	0	C2	*
教授	名詞	普通名詞	サ変可能	*	*	*	キョウジュ	教授	教授	キョージュ	キョウジュ	漢	教授	キョージュ	キョウジュ	キョウジュ	*	*	*	*	*	*	"0	1"	C2	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
長谷川	名詞	固有名詞	人名	姓	*	*	ハセガワ	ハセガワ	長谷川	ハセガワ	ハセガワ	固	長谷川	ハセガワ	ハセガワ	ハセガワ	*	*	*	*	*	*	0	*	*
謹	動詞	一般	*	*	文語四段-マ行	連用形-一般	ツツシム	慎む	謹	ツツシミ	ツツシミ	和	謹む	ツツシム	ツツシム	ツツシム	*	*	*	*	*	*	3	C1	*
造	名詞	普通名詞	一般	*	*	*	ゾウ	造	造	ゾー	ゾウ	漢	造	ゾー	ゾウ	ゾウ	*	*	*	*	*	*	1	C3	*
先生	名詞	普通名詞	一般	*	*	*	センセイ	先生	先生	センセー	センセイ	漢	先生	センセー	センセイ	センセイ	*	*	*	*	*	*	3	C2	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
ヴエランダ	名詞	普通名詞	一般	*	*	*	ベランダ	ベランダ-veranda	ヴエランダ	ベランダ	ヴエランダ	外	ヴエランダ	ベランダ	ヴエランダ	ベランダ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
籐	名詞	普通名詞	一般	*	*	*	トウ	籐	籐	トー	トウ	漢	籐	トー	トウ	トウ	ト濁	基本形	*	*	*	*	1	C3	*
椅子	名詞	普通名詞	一般	*	*	*	イス	椅子	椅子	イス	イス	漢	椅子	イス	イス	イス	*	*	*	*	*	*	0	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
とう	名詞	普通名詞	一般	*	*	*	トウ	薹	とう	トー	トウ	漢	とう	トー	トウ	トウ	*	*	*	*	*	*	1	C3	*
いす	名詞	普通名詞	一般	*	*	*	イス	椅子	いす	イス	イス	漢	いす	イス	イス	イス	*	*	*	*	*	*	0	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
腰	名詞	普通名詞	一般	*	*	*	コシ	腰	腰	コシ	コシ	和	腰	コシ	コシ	コシ	コ濁	基本形	*	*	*	*	0	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
かけ	動詞	非自立可能	*	*	文語下二段-カ行	連用形-一般	カケル	掛ける	かけ	カケ	カケ	和	かく	カク	カク	カク	カ濁	基本形	*	*	*	*	1	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
ストリントベルク	名詞	固有名詞	人名	一般	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
作劇	名詞	普通名詞	一般	*	*	*	サクゲキ	作劇	作劇	サクゲキ	サクゲキ	漢	作劇	サクゲキ	サクゲキ	サクゲキ	*	*	*	*	*	*	0	C2	*
術	名詞	普通名詞	一般	*	*	*	ジュツ	術	術	ジュツ	ジュツ	漢	術	ジュツ	ジュツ	ジュツ	*	*	*	*	*	*	"1	2"	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ドラマトウルギイ	名詞	固有名詞	人名	一般	*	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
読ん	動詞	一般	*	*	文語四段-マ行	連用形-撥音便	ヨム	読む	読ん	ヨン	ヨン	和	読む	ヨム	ヨム	ヨム	*	*	*	*	*	*	1	C1	*
で	助詞	接続助詞	*	*	*	*	テ	て	で	デ	デ	和	で	デ	デ	デ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
ゐ	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	イル	居る	ゐ	イ	ヰ	和	ゐる	イル	ヰル	イル	*	*	*	*	*	*	0	C4	M4@1
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
先生	名詞	普通名詞	一般	*	*	*	センセイ	先生	先生	センセー	センセイ	漢	先生	センセー	センセイ	センセイ	*	*	*	*	*	*	3	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
専門	名詞	普通名詞	一般	*	*	*	センモン	専門	専門	センモン	センモン	漢	専門	センモン	センモン	センモン	*	*	*	*	*	*	0	C2	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
植民	名詞	普通名詞	サ変可能	*	*	*	ショクミン	植民	植民	ショクミン	ショクミン	漢	植民	ショクミン	ショクミン	ショクミン	*	*	*	*	*	*	0	C2	*
政策	名詞	普通名詞	一般	*	*	*	セイサク	政策	政策	セーサク	セイサク	漢	政策	セーサク	セイサク	セイサク	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
研究	名詞	普通名詞	サ変可能	*	*	*	ケンキュウ	研究	研究	ケンキュー	ケンキュウ	漢	研究	ケンキュー	ケンキュウ	ケンキュウ	*	*	*	*	*	*	0	C2	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
ある	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	アル	有る	ある	アル	アル	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
従つ	動詞	一般	*	*	文語四段-ハ行	連用形-促音便	シタガウ	従う	従つ	シタガッ	シタガッ	和	従ふ	シタガウ	シタガフ	シタガウ	*	*	*	*	*	*	"0	3"	C2	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
読者	名詞	普通名詞	一般	*	*	*	ドクシャ	読者	読者	ドクシャ	ドクシャ	漢	読者	ドクシャ	ドクシャ	ドクシャ	*	*	*	*	*	*	1	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
