カイン	名詞	固有名詞	人名	一般	*	*	カイン	カイン-Cain	カイン	カイン	カイン	固	カイン	カイン	カイン	カイン	*	*	*	*	*	*	1	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
末裔	名詞	普通名詞	一般	*	*	*	バツエイ	末裔	末裔	バツエー	バツエイ	漢	末裔	バツエー	バツエイ	バツエイ	*	*	*	*	*	*	0	C2	*
有島	名詞	固有名詞	人名	姓	*	*	アリシマ	アリシマ	有島	アリシマ	アリシマ	固	有島	アリシマ	アリシマ	アリシマ	*	*	*	*	*	*	0	*	*
武郎	名詞	固有名詞	人名	名	*	*	タケオ	タケオ	武郎	タケオ	タケオ	固	武郎	タケオ	タケオ	タケオ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
（	補助記号	括弧開	*	*	*	*		（	（			記号	（				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
）	補助記号	括弧閉	*	*	*	*		）	）			記号	）				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
長い	形容詞	一般	*	*	文語形容詞-ク	連体形-イ音便	ナガイ	長い	長い	ナガイ	ナガイ	和	長し	ナガシ	ナガシ	ナガシ	*	*	*	*	*	*	1	C1	*
影	名詞	普通名詞	一般	*	*	*	カゲ	影	影	カゲ	カゲ	和	影	カゲ	カゲ	カゲ	*	*	*	*	*	*	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
地	名詞	普通名詞	一般	*	*	*	チ	地	地	チ	チ	漢	地	チ	チ	チ	*	*	*	*	*	*	1	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
ひい	動詞	一般	*	*	文語四段-カ行	連用形-イ音便	ヒク	引く-他動詞	ひい	ヒイ	ヒイ	和	ひく	ヒク	ヒク	ヒク	ヒ濁	基本形	*	*	*	*	0	C2	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
痩馬	名詞	普通名詞	一般	*	*	*	ヤセウマ	痩せ馬	痩馬	ヤセウマ	ヤセウマ	和	痩馬	ヤセウマ	ヤセウマ	ヤセウマ	*	*	*	*	*	*	0	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
やせ	名詞	普通名詞	一般	*	*	*	ヤセ	痩せ	やせ	ヤセ	ヤセ	和	やせ	ヤセ	ヤセ	ヤセ	*	*	*	*	*	*	0	C2	*
うま	名詞	普通名詞	一般	*	*	*	ウマ	馬	うま	ウマ	ウマ	和	うま	ウマ	ウマ	ウマ	*	*	*	*	*	*	2	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
