枯野	名詞	普通名詞	一般	*	*	*	カレノ	枯野	枯野	カレノ	カレノ	和	枯野	カレノ	カレノ	カレノ	*	*	*	*	*	*	0	C2	*
抄	名詞	普通名詞	一般	*	*	*	ショウ	抄	抄	ショー	ショウ	漢	抄	ショー	ショウ	ショウ	*	*	*	*	*	*	1	C3	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
丈艸	名詞	固有名詞	人名	名	*	*	ジョウソウ	ジョウソウ	丈艸	ジョーソー	ジョウソウ	固	丈艸	ジョーソー	ジョウソウ	ジョウソウ	*	*	*	*	*	*	1	*	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ぢやう	名詞	普通名詞	一般	*	*	*	ジョウ	定	ぢやう	ジョー	ヂヤウ	漢	ぢやう	ジョー	ヂヤウ	ジョウ	*	*	*	*	*	*	1	C3	*
さう	名詞	助動詞語幹	*	*	*	*	ソウ	そう-伝聞	さう	ソー	サウ	和	さう	ソー	サウ	ソウ	*	*	*	*	*	*	1	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
去来	名詞	普通名詞	サ変可能	*	*	*	キョライ	去来	去来	キョライ	キョライ	漢	去来	キョライ	キョライ	キョライ	*	*	*	*	*	*	"0	1"	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
きよら	形状詞	一般	*	*	*	*	キヨラ	清ら	きよら	キヨラ	キヨラ	和	きよら	キヨラ	キヨラ	キヨラ	*	*	*	*	*	*	1	C1	*
い	助詞	終助詞	*	*	*	*	イ	い	い	イ	イ	和	い	イ	イ	イ	*	*	*	*	*	*	*	名詞%F2@0	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
召し	動詞	一般	*	*	文語四段-サ行	連用形-一般	メス	召す	召し	メシ	メシ	和	召す	メス	メス	メス	*	*	*	*	*	*	1	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
昨夜	名詞	普通名詞	一般	*	*	*	ヨンベ	昨夜	昨夜	ヨンベ	ヨンベ	和	昨夜	ヨンベ	ヨンベ	ヨンベ	*	*	*	*	*	*	0	C2	*
目	接尾辞	名詞的	一般	*	*	*	メ	目	目	メ	メ	和	目	メ	メ	メ	*	*	*	*	*	*	*	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
あは	動詞	一般	*	*	文語四段-ハ行	未然形-一般	アウ	会う	あは	アワ	アハ	和	あふ	アウ	アフ	アウ	*	*	*	*	*	*	1	C1	*
ざる	助動詞	*	*	*	文語助動詞-ズ	連体形-補助	ズ	ず	ざる	ザル	ザル	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
まま	名詞	普通名詞	副詞可能	*	*	*	ママ	侭	まま	ママ	ママ	和	まま	ママ	ママ	ママ	*	*	*	*	*	*	2	C3	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
