妄想	名詞	普通名詞	サ変可能	*	*	*	モウソウ	妄想	妄想	モーソー	モウソウ	漢	妄想	モーソー	モウソウ	モウソウ	*	*	*	*	*	*	0	C2	*
森	名詞	固有名詞	人名	姓	*	*	モリ	モリ	森	モリ	モリ	固	森	モリ	モリ	モリ	*	*	*	*	*	*	0	*	*
鴎外	名詞	固有名詞	人名	名	*	*	オウガイ	オウガイ	鴎外	オーガイ	オウガイ	固	鴎外	オーガイ	オウガイ	オウガイ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
目前	名詞	普通名詞	一般	*	*	*	モクゼン	目前	目前	モクゼン	モクゼン	漢	目前	モクゼン	モクゼン	モクゼン	*	*	*	*	*	*	0	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
くぜん	名詞	普通名詞	サ変可能	*	*	*	キョウゼン	供膳	くぜん	クゼン	クゼン	漢	くぜん	クゼン	クゼン	クゼン	*	*	*	*	*	*	0	C2	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
広々	副詞	*	*	*	*	*	ヒロビロ	広々	広々	ヒロビロ	ヒロビロ	和	広々	ヒロビロ	ヒロビロ	ヒロビロ	*	*	*	*	*	*	3	*	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
海	名詞	普通名詞	一般	*	*	*	ウミ	海	海	ウミ	ウミ	和	海	ウミ	ウミ	ウミ	*	*	*	*	*	*	1	C3	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
横はつ	動詞	一般	*	*	文語四段-ラ行	連用形-促音便	ヨコタワル	横たわる	横はつ	ヨコタワッ	ヨコタハッ	和	横はる	ヨコタワル	ヨコタハル	ヨコタワル	*	*	*	*	*	*	4	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
ゐる	動詞	非自立可能	*	*	文語上一段-ワ行	終止形-一般	イル	居る	ゐる	イル	ヰル	和	ゐる	イル	ヰル	イル	*	*	*	*	*	*	0	C4	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
その	連体詞	*	*	*	*	*	ソノ	其の	その	ソノ	ソノ	和	その	ソノ	ソノ	ソノ	*	*	*	*	*	*	0	*	*
海	名詞	普通名詞	一般	*	*	*	ウミ	海	海	ウミ	ウミ	和	海	ウミ	ウミ	ウミ	*	*	*	*	*	*	1	C3	*
から	助詞	格助詞	*	*	*	*	カラ	から	から	カラ	カラ	和	から	カラ	カラ	カラ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1	名詞%F1"	*
打ち上げ	動詞	一般	*	*	文語下二段-ガ行	未然形-一般	ブチアゲル	打ち上げる	打ち上げ	ブチアゲ	ブチアゲ	和	打ち上ぐ	ブチアグ	ブチアグ	ブチアグ	*	*	*	*	*	*	3	C1	*
られ	助動詞	*	*	*	文語下二段-ラ行	連用形-一般	ラレル	られる	られ	ラレ	ラレ	和	らる	ラル	ラル	ラル	*	*	*	*	*	*	*	*	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
砂	名詞	普通名詞	一般	*	*	*	スナ	砂	砂	スナ	スナ	和	砂	スナ	スナ	スナ	ス濁	基本形	*	*	*	*	0	C4	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
小山	名詞	普通名詞	一般	*	*	*	オヤマ	小山	小山	オヤマ	オヤマ	和	小山	オヤマ	オヤマ	オヤマ	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
やう	形状詞	助動詞語幹	*	*	*	*	ヨウ	様	やう	ヨー	ヤウ	漢	やう	ヨー	ヤウ	ヨウ	*	*	*	*	*	*	1	C3	*
に	助動詞	*	*	*	助動詞-ダ	連用形-ニ	ダ	だ	に	ニ	ニ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
盛り上がつ	動詞	一般	*	*	五段-ラ行	連用形-促音便	モリアガル	盛り上がる	盛り上がつ	モリアガッ	モリアガッ	和	盛り上がる	モリアガル	モリアガル	モリアガル	*	*	*	*	*	*	"4	0"	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
自然	名詞	普通名詞	一般	*	*	*	シゼン	自然	自然	シゼン	シゼン	漢	自然	シゼン	シゼン	シゼン	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
堤防	名詞	普通名詞	一般	*	*	*	テイボウ	堤防	堤防	テーボー	テイボウ	漢	堤防	テーボー	テイボウ	テイボウ	*	*	*	*	*	*	0	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
形づくつ	動詞	一般	*	*	文語四段-ラ行	連用形-促音便	カタチヅクル	形作る	形づくつ	カタチズクッ	カタチヅクッ	和	形づくる	カタチズクル	カタチヅクル	カタチヅクル	*	*	*	*	*	*	5	C1	*
