武蔵野	名詞	固有名詞	地名	一般	*	*	ムサシノ	ムサシノ	武蔵野	ムサシノ	ムサシノ	固	武蔵野	ムサシノ	ムサシノ	ムサシノ	*	*	*	*	*	*	0	*	*
国木田	名詞	固有名詞	人名	姓	*	*	クニキダ	クニキダ	国木田	クニキダ	クニキダ	固	国木田	クニキダ	クニキダ	クニキダ	*	*	*	*	*	*	0	*	*
独歩	名詞	固有名詞	人名	名	*	*	ドッポ	ドッポ	独歩	ドッポ	ドッポ	固	独歩	ドッポ	ドッポ	ドッポ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
「	補助記号	括弧開	*	*	*	*		「	「			記号	「				*	*	*	*	*	*	*	*	*
武蔵野	名詞	固有名詞	地名	一般	*	*	ムサシノ	ムサシノ	武蔵野	ムサシノ	ムサシノ	固	武蔵野	ムサシノ	ムサシノ	ムサシノ	*	*	*	*	*	*	0	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
俤	名詞	普通名詞	一般	*	*	*	オモカゲ	面影	俤	オモカゲ	オモカゲ	和	俤	オモカゲ	オモカゲ	オモカゲ	*	*	*	*	*	*	"0	2	3"	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
おもかげ	名詞	普通名詞	一般	*	*	*	オモカゲ	面影	おもかげ	オモカゲ	オモカゲ	和	おもかげ	オモカゲ	オモカゲ	オモカゲ	*	*	*	*	*	*	"0	2	3"	C2	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
今	名詞	普通名詞	副詞可能	*	*	*	イマ	今	今	イマ	イマ	和	今	イマ	イマ	イマ	*	*	*	*	*	*	1	C3	*
わずか	形状詞	一般	*	*	*	*	ワズカ	僅か	わずか	ワズカ	ワズカ	和	わずか	ワズカ	ワズカ	ワズカ	*	*	*	*	*	*	1	C1	*
