二百	名詞	数詞	*	*	*	*	ニヒャク	二百	二百	ニヒャク	ニヒャク	漢	二百	ニヒャク	ニヒャク	ニヒャク	*	*	Nh	ク促	基本形	*	3	C2	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
日	名詞	普通名詞	助数詞可能	*	*	*	ニチ	日	日	ニチ	ニチ	漢	日	ニチ	ニチ	ニチ	*	*	*	チ促	基本形	B4WB	1	C3	*
夏目	名詞	固有名詞	人名	姓	*	*	ナツメ	ナツメ	夏目	ナツメ	ナツメ	固	夏目	ナツメ	ナツメ	ナツメ	*	*	*	*	*	*	0	*	*
漱石	名詞	固有名詞	人名	名	*	*	ソウセキ	ソウセキ	漱石	ソーセキ	ソウセキ	固	漱石	ソーセキ	ソウセキ	ソウセキ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
ぶらり	副詞	*	*	*	*	*	ブラリ	ぶらり	ぶらり	ブラリ	ブラリ	和	ぶらり	ブラリ	ブラリ	ブラリ	*	*	*	*	*	*	2	*	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
両手	名詞	普通名詞	一般	*	*	*	リョウテ	両手	両手	リョーテ	リョウテ	混	両手	リョーテ	リョウテ	リョウテ	*	*	*	*	*	*	0	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
垂	動詞	一般	*	*	文語下二段-ラ行	連用形-一般	タレル	垂れる	垂	タレ	タレ	和	垂る	タル	タル	タル	*	*	*	*	*	*	1	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
さ	助詞	終助詞	*	*	*	*	サ	さ	さ	サ	サ	和	さ	サ	サ	サ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F4@-1"	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
げ	接尾辞	形状詞的	*	*	*	*	ゲ	気	げ	ゲ	ゲ	和	げ	ゲ	ゲ	ゲ	*	*	*	*	*	*	*	C4	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
まま	名詞	普通名詞	副詞可能	*	*	*	ママ	侭	まま	ママ	ママ	和	まま	ママ	ママ	ママ	*	*	*	*	*	*	2	C3	*
