昇降	名詞	普通名詞	サ変可能	*	*	*	ショウコウ	昇降	昇降	ショーコー	ショウコウ	漢	昇降	ショーコー	ショウコウ	ショウコウ	*	*	*	*	*	*	0	C2	*
場	接尾辞	名詞的	一般	*	*	*	ジョウ	場	場	ジョー	ジョウ	漢	場	ジョー	ジョウ	ジョウ	*	*	*	*	*	*	*	C4	*
広津	名詞	固有名詞	人名	姓	*	*	ヒロツ	ヒロツ	広津	ヒロツ	ヒロツ	固	広津	ヒロツ	ヒロツ	ヒロツ	*	*	*	*	*	*	1	*	*
柳浪	名詞	固有名詞	人名	名	*	*	リュウロウ	リュウロウ	柳浪	リューロー	リュウロウ	固	柳浪	リューロー	リュウロウ	リュウロウ	*	*	*	*	*	*	1	*	*
上	接尾辞	名詞的	一般	*	*	*	ウエ	上	上	ウエ	ウエ	和	上	ウエ	ウエ	ウエ	*	*	*	*	*	*	*	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
仙台	名詞	固有名詞	地名	一般	*	*	センダイ	センダイ	仙台	センダイ	センダイ	固	仙台	センダイ	センダイ	センダイ	*	*	*	*	*	*	1	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
師団	名詞	普通名詞	一般	*	*	*	シダン	師団	師団	シダン	シダン	漢	師団	シダン	シダン	シダン	*	*	*	*	*	*	1	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
居	動詞	非自立可能	*	*	文語上一段-ワ行	連用形-一般	イル	居る	居	イ	イ	和	居る	イル	イル	イル	*	*	*	*	*	*	0	C4	*
らし	助動詞	*	*	*	文語助動詞-ラシ	終止形-一般	ラシ	らし	らし	ラシ	ラシ	和	らし	ラシ	ラシ	ラシ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@1"	*
ッ	補助記号	一般	*	*	*	*		っ	ッ		ッ	記号	ッ		ッ		*	*	*	*	*	*	*	*	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
西田	名詞	固有名詞	人名	姓	*	*	ニシダ	ニシダ	西田	ニシダ	ニシダ	固	西田	ニシダ	ニシダ	ニシダ	*	*	*	*	*	*	1	*	*
若子	名詞	固有名詞	人名	名	*	*	ワカコ	ワカコ	若子	ワカコ	ワカコ	固	若子	ワカコ	ワカコ	ワカコ	*	*	*	*	*	*	1	*	*
さん	接尾辞	名詞的	一般	*	*	*	サン	さん	さん	サン	サン	和	さん	サン	サン	サン	*	*	*	*	*	*	*	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
御	接頭辞	*	*	*	*	*	オ	御	御	オ	オ	和	御	オ	オ	オ	*	*	*	促添	基本形	*	*	P2	*
兄	名詞	普通名詞	一般	*	*	*	アニ	兄	兄	アニ	アニ	和	兄	アニ	アニ	アニ	*	*	*	*	*	*	1	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
お	接頭辞	*	*	*	*	*	オ	御	お	オ	オ	和	お	オ	オ	オ	*	*	*	促添	基本形	*	*	P2	*
あに	名詞	普通名詞	一般	*	*	*	アニ	兄	あに	アニ	アニ	和	あに	アニ	アニ	アニ	*	*	*	*	*	*	1	C1	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
いさ	副詞	*	*	*	*	*	イサ	いさ	いさ	イサ	イサ	和	いさ	イサ	イサ	イサ	*	*	*	*	*	*	1	*	*
ん	助動詞	*	*	*	文語助動詞-ム	連体形-撥音便	ム	む	ん	ン	ン	和	む	ム	ム	ム	*	*	*	*	*	*	*	動詞%F4@0	*
が	助詞	接続助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
今度	名詞	普通名詞	副詞可能	*	*	*	コンド	今度	今度	コンド	コンド	漢	今度	コンド	コンド	コンド	*	*	*	*	*	*	1	C1	*
戦地	名詞	普通名詞	一般	*	*	*	センチ	戦地	戦地	センチ	センチ	漢	戦地	センチ	センチ	センチ	*	*	*	*	*	*	1	C1	*
へ	助詞	格助詞	*	*	*	*	ヘ	へ	へ	エ	ヘ	和	へ	エ	ヘ	ヘ	*	*	*	*	*	*	*	名詞%F1	*
行ら	動詞	非自立可能	*	*	文語四段-ラ行	未然形-一般	サル	去る	行ら	サラ	サラ	和	行る	サル	サル	サル	*	*	*	*	*	*	1	C1	*
