忠直	名詞	固有名詞	人名	名	*	*	タダナオ	タダナオ	忠直	タダナオ	タダナオ	固	忠直	タダナオ	タダナオ	タダナオ	*	*	*	*	*	*	2	*	*
卿	接尾辞	名詞的	一般	*	*	*	キョウ	卿	卿	キョー	キョウ	漢	卿	キョー	キョウ	キョウ	*	*	*	*	*	*	*	C4	*
行状	名詞	普通名詞	一般	*	*	*	ギョウジョウ	行状	行状	ギョージョー	ギョウジョウ	漢	行状	ギョージョー	ギョウジョウ	ギョウジョウ	*	*	*	*	*	*	"0	3"	C2	*
記	接尾辞	名詞的	一般	*	*	*	キ	記	記	キ	キ	漢	記	キ	キ	キ	*	*	*	*	*	*	*	C3	*
菊池	名詞	固有名詞	人名	姓	*	*	キクチ	キクチ	菊池	キクチ	キクチ	固	菊池	キクチ	キクチ	キクチ	*	*	*	*	*	*	0	*	*
寛	名詞	固有名詞	人名	名	*	*	ヒロシ	ヒロシ	寛	ヒロシ	ヒロシ	固	寛	ヒロシ	ヒロシ	ヒロシ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
家康	名詞	固有名詞	人名	名	*	*	イエヤス	イエヤス	家康	イエヤス	イエヤス	固	家康	イエヤス	イエヤス	イエヤス	*	*	*	*	*	*	"2	0"	*	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
いえ	動詞	一般	*	*	文語四段-ハ行	已然形-一般	イウ	言う	いえ	イエ	イエ	和	いう	イウ	イウ	イウ	*	*	*	*	*	*	0	C2	*
やす	接尾辞	形容詞的	*	*	文語形容詞-ク	語幹-一般	ヤスイ	易い	やす	ヤス	ヤス	和	やすし	ヤスシ	ヤスシ	ヤスシ	*	*	*	*	*	*	1	C1	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
本陣	名詞	普通名詞	一般	*	*	*	ホンジン	本陣	本陣	ホンジン	ホンジン	漢	本陣	ホンジン	ホンジン	ホンジン	*	*	*	*	*	*	1	C1	*
へ	助詞	格助詞	*	*	*	*	ヘ	へ	へ	エ	ヘ	和	へ	エ	ヘ	ヘ	*	*	*	*	*	*	*	名詞%F1	*
呼び付け	動詞	一般	*	*	文語下二段-カ行	未然形-一般	ヨビツケル	呼び付ける	呼び付け	ヨビツケ	ヨビツケ	和	呼び付く	ヨビツク	ヨビツク	ヨビツク	*	*	*	*	*	*	3	C1	*
られ	助動詞	*	*	*	文語下二段-ラ行	連用形-一般	ラレル	られる	られ	ラレ	ラレ	和	らる	ラル	ラル	ラル	*	*	*	*	*	*	*	*	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
忠直	名詞	固有名詞	人名	名	*	*	タダナオ	タダナオ	忠直	タダナオ	タダナオ	固	忠直	タダナオ	タダナオ	タダナオ	*	*	*	*	*	*	2	*	*
卿	接尾辞	名詞的	一般	*	*	*	キョウ	卿	卿	キョー	キョウ	漢	卿	キョー	キョウ	キョウ	*	*	*	*	*	*	*	C4	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ただ	副詞	*	*	*	*	*	タダ	唯	ただ	タダ	タダ	和	ただ	タダ	タダ	タダ	*	*	*	*	*	*	1	*	*
なお	副詞	*	*	*	*	*	ナオ	猶	なお	ナオ	ナオ	和	なお	ナオ	ナオ	ナオ	*	*	*	*	*	*	1	*	*
きょ	記号	一般	*	*	*	*	キョ	キョ	きょ	キョ	キョ	記号	きょ	キョ	キョ	キョ	*	*	*	*	*	*	1	*	*
