高瀬	名詞	固有名詞	人名	姓	*	*	タカセ	タカセ	高瀬	タカセ	タカセ	固	高瀬	タカセ	タカセ	タカセ	*	*	*	*	*	*	1	*	*
舟	名詞	固有名詞	人名	名	*	*	フネ	フネ	舟	フネ	フネ	固	舟	フネ	フネ	フネ	*	*	*	*	*	*	1	*	*
森	名詞	固有名詞	人名	姓	*	*	モリ	モリ	森	モリ	モリ	固	森	モリ	モリ	モリ	*	*	*	*	*	*	0	*	*
林太郎	名詞	固有名詞	人名	名	*	*	リンタロウ	リンタロウ	林太郎	リンタロー	リンタロウ	固	林太郎	リンタロー	リンタロウ	リンタロウ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
高瀬	名詞	固有名詞	地名	一般	*	*	タカセ	タカセ	高瀬	タカセ	タカセ	固	高瀬	タカセ	タカセ	タカセ	*	*	*	*	*	*	1	*	*
舟	名詞	普通名詞	一般	*	*	*	フネ	船	舟	フネ	フネ	和	舟	フネ	フネ	フネ	フ濁	基本形	*	*	*	*	1	C3	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
京都	名詞	固有名詞	地名	一般	*	*	キョウト	キョウト	京都	キョート	キョウト	固	京都	キョート	キョウト	キョウト	*	*	*	*	*	*	1	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
高瀬	名詞	普通名詞	一般	*	*	*	タカセ	高瀬	高瀬	タカセ	タカセ	和	高瀬	タカセ	タカセ	タカセ	*	*	*	*	*	*	1	C1	*
川	名詞	普通名詞	一般	*	*	*	カワ	川	川	カワ	カワ	和	川	カワ	カワ	カワ	カ濁	基本形	*	*	*	*	2	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
上下	名詞	普通名詞	サ変可能	*	*	*	ジョウゲ	上下	上下	ジョーゲ	ジョウゲ	漢	上下	ジョーゲ	ジョウゲ	ジョウゲ	*	*	*	*	*	*	1	C1	*
する	動詞	非自立可能	*	*	文語サ行変格	連体形-一般	スル	為る	する	スル	スル	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
小舟	名詞	普通名詞	一般	*	*	*	オブネ	小舟	小舟	オブネ	オブネ	和	小舟	オブネ	オブネ	オブネ	*	*	*	*	*	*	0	C2	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
ある	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	アル	有る	ある	アル	アル	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
徳川	名詞	固有名詞	人名	姓	*	*	トクガワ	トクガワ	徳川	トクガワ	トクガワ	固	徳川	トクガワ	トクガワ	トクガワ	*	*	*	*	*	*	"0	2"	*	*
時代	名詞	普通名詞	一般	*	*	*	ジダイ	時代	時代	ジダイ	ジダイ	漢	時代	ジダイ	ジダイ	ジダイ	*	*	*	*	*	*	0	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
京都	名詞	固有名詞	地名	一般	*	*	キョウト	キョウト	京都	キョート	キョウト	固	京都	キョート	キョウト	キョウト	*	*	*	*	*	*	1	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
罪人	名詞	普通名詞	一般	*	*	*	ザイニン	罪人	罪人	ザイニン	ザイニン	漢	罪人	ザイニン	ザイニン	ザイニン	*	*	*	*	*	*	"0	3"	C2	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
遠島	名詞	普通名詞	一般	*	*	*	エントウ	遠島	遠島	エントー	エントウ	漢	遠島	エントー	エントウ	エントウ	*	*	*	*	*	*	0	C2	*
