トロツコ	名詞	固有名詞	人名	一般	*	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
小田原	名詞	固有名詞	地名	一般	*	*	オダワラ	オダワラ	小田原	オダワラ	オダワラ	固	小田原	オダワラ	オダワラ	オダワラ	*	*	*	*	*	*	0	*	*
熱海	名詞	固有名詞	地名	一般	*	*	アタミ	アタミ	熱海	アタミ	アタミ	固	熱海	アタミ	アタミ	アタミ	*	*	*	*	*	*	1	*	*
間	接尾辞	名詞的	副詞可能	*	*	*	カン	間	間	カン	カン	漢	間	カン	カン	カン	*	*	*	*	*	*	*	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
軽便	名詞	普通名詞	形状詞可能	*	*	*	ケイベン	軽便	軽便	ケーベン	ケイベン	漢	軽便	ケーベン	ケイベン	ケイベン	*	*	*	*	*	*	0	C2	*
鉄道	名詞	普通名詞	一般	*	*	*	テツドウ	鉄道	鉄道	テツドー	テツドウ	漢	鉄道	テツドー	テツドウ	テツドウ	*	*	*	*	*	*	0	C2	*
敷設	名詞	普通名詞	サ変可能	*	*	*	フセツ	敷設	敷設	フセツ	フセツ	漢	敷設	フセツ	フセツ	フセツ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
工事	名詞	普通名詞	サ変可能	*	*	*	コウジ	工事	工事	コージ	コウジ	漢	工事	コージ	コウジ	コウジ	*	*	*	*	*	*	1	C1	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
始まつ	動詞	一般	*	*	文語四段-ラ行	連用形-促音便	ハジマル	始まる	始まつ	ハジマッ	ハジマッ	和	始まる	ハジマル	ハジマル	ハジマル	*	*	*	*	*	*	0	C2	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
の	助詞	準体助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
良平	名詞	固有名詞	人名	名	*	*	リョウヘイ	リョウヘイ	良平	リョーヘー	リョウヘイ	固	良平	リョーヘー	リョウヘイ	リョウヘイ	*	*	*	*	*	*	0	*	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
りやう	助動詞	*	*	*	助動詞-レル	意志推量形	レル	れる	りやう	リョー	リヤウ	和	れる	レル	レル	レル	*	*	*	*	*	*	*	動詞%F3@1	M1@1
へい	感動詞	一般	*	*	*	*	ヘイ	へい	へい	ヘー	ヘイ	和	へい	ヘー	ヘイ	ヘイ	*	*	*	*	*	*	1	*	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
