うたかた	名詞	普通名詞	一般	*	*	*	ウタカタ	泡沫	うたかた	ウタカタ	ウタカタ	和	うたかた	ウタカタ	ウタカタ	ウタカタ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
記	名詞	普通名詞	一般	*	*	*	キ	記	記	キ	キ	漢	記	キ	キ	キ	*	*	*	*	*	*	1	C3	*
森	名詞	固有名詞	人名	姓	*	*	モリ	モリ	森	モリ	モリ	固	森	モリ	モリ	モリ	*	*	*	*	*	*	0	*	*
鴎外	名詞	固有名詞	人名	名	*	*	オウガイ	オウガイ	鴎外	オーガイ	オウガイ	固	鴎外	オーガイ	オウガイ	オウガイ	*	*	*	*	*	*	1	*	*
上	接尾辞	名詞的	一般	*	*	*	ウエ	上	上	ウエ	ウエ	和	上	ウエ	ウエ	ウエ	*	*	*	*	*	*	*	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
幾	名詞	数詞	*	*	*	*	イク	幾	幾	イク	イク	和	幾	イク	イク	イク	*	*	*	*	*	*	1	C3	*
頭	接尾辞	名詞的	助数詞	*	*	*	トウ	頭	頭	トー	トウ	漢	頭	トー	トウ	トウ	*	*	*	*	*	B1S8SjS	*	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
獅子	名詞	普通名詞	一般	*	*	*	シシ	獅子	獅子	シシ	シシ	漢	獅子	シシ	シシ	シシ	シ濁	基本形	*	*	*	*	1	C4	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
しし	名詞	普通名詞	一般	*	*	*	シシ	獅子	しし	シシ	シシ	漢	しし	シシ	シシ	シシ	シ濁	基本形	*	*	*	*	1	C4	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
挽	動詞	一般	*	*	文語四段-カ行	終止形-一般	ヒク	挽く	挽	ヒク	ヒク	和	挽く	ヒク	ヒク	ヒク	ヒ濁	基本形	*	*	*	*	0	C4	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ひ	記号	一般	*	*	*	*	ヒ	ヒ	ひ	ヒ	ヒ	記号	ひ	ヒ	ヒ	ヒ	*	*	*	*	*	*	1	*	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
ける	助動詞	*	*	*	文語助動詞-ケリ	連体形-一般	ケリ	けり	ける	ケル	ケル	和	けり	ケリ	ケリ	ケリ	ケ濁	基本形	*	*	*	*	*	*	*
車	名詞	普通名詞	一般	*	*	*	クルマ	車	車	クルマ	クルマ	和	車	クルマ	クルマ	クルマ	ク濁	基本形	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
上	名詞	普通名詞	副詞可能	*	*	*	ウエ	上	上	ウエ	ウエ	和	上	ウエ	ウエ	ウエ	*	*	*	*	*	*	"0	2"	C4	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
勢	名詞	普通名詞	一般	*	*	*	イキオイ	勢い	勢	イキオイ	イキオイ	和	勢	イキオイ	イキオイ	イキオイ	*	*	*	*	*	*	3	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
いきおい	名詞	普通名詞	一般	*	*	*	イキオイ	勢い	いきおい	イキオイ	イキオイ	和	いきおい	イキオイ	イキオイ	イキオイ	*	*	*	*	*	*	3	C1	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
よく	副詞	*	*	*	*	*	ヨク	良く	よく	ヨク	ヨク	和	よく	ヨク	ヨク	ヨク	*	*	*	*	*	*	1	*	*
突立ち	動詞	一般	*	*	文語四段-タ行	連用形-一般	ツキタツ	突き立つ	突立ち	ツキタチ	ツキタチ	和	突立つ	ツキタツ	ツキタツ	ツキタツ	*	*	*	*	*	*	3	C1	*
たる	助動詞	*	*	*	文語助動詞-タリ-完了	連体形-一般	タリ	たり-完了	たる	タル	タル	和	たり	タリ	タリ	タリ	*	*	*	*	*	*	*	"動詞%F6@1	-1	形容詞%F2@-2"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
女神	名詞	普通名詞	一般	*	*	*	メガミ	女神	女神	メガミ	メガミ	和	女神	メガミ	メガミ	メガミ	*	*	*	*	*	*	1	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
にょ	助詞	終助詞	*	*	*	*	ヨ	よ	にょ	ニョ	ニョ	和	にょ	ニョ	ニョ	ニョ	*	*	*	*	*	*	*	*	*
しん	名詞	普通名詞	一般	*	*	*	シン	真	しん	シン	シン	漢	しん	シン	シン	シン	*	*	*	*	*	*	1	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
バワリア	名詞	固有名詞	人名	一般	*	*	バワリア	バワリア	バワリア	バワリア	バワリア	固	バワリア	バワリア	バワリア	バワリア	*	*	*	*	*	*	2	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
像	名詞	普通名詞	一般	*	*	*	ゾウ	像	像	ゾー	ゾウ	漢	像	ゾー	ゾウ	ゾウ	*	*	*	*	*	*	1	C3	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
先王	名詞	普通名詞	一般	*	*	*	センオウ	先王	先王	センオー	センオウ	漢	先王	センオー	センオウ	センオウ	*	*	*	*	*	*	"3	0"	C2	*
ルウドヰヒ	名詞	固有名詞	人名	一般	*	*	ルートビヒ	ルートビヒ-Ludwig	ルウドヰヒ	ルードウィヒ	ルウドヰヒ	固	ルウドヰヒ	ルードウィヒ	ルウドヰヒ	ルードウィヒ	*	*	*	*	*	*	4	*	*
第	接頭辞	*	*	*	*	*	ダイ	第	第	ダイ	ダイ	漢	第	ダイ	ダイ	ダイ	*	*	*	*	*	*	*	P13	*
一世	名詞	普通名詞	一般	*	*	*	イッセイ	一世	一世	イッセー	イッセイ	漢	一世	イッセー	イッセイ	イッセイ	*	*	*	*	*	*	"1	0"	C1	*
が	助詞	格助詞	*	*	*	*	ガ	が	が	ガ	ガ	和	が	ガ	ガ	ガ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1"	*
この	連体詞	*	*	*	*	*	コノ	此の	この	コノ	コノ	和	この	コノ	コノ	コノ	*	*	*	*	*	*	0	*	*
凱旋	名詞	普通名詞	サ変可能	*	*	*	ガイセン	凱旋	凱旋	ガイセン	ガイセン	漢	凱旋	ガイセン	ガイセン	ガイセン	*	*	*	*	*	*	0	C2	*
門	名詞	普通名詞	一般	*	*	*	モン	門	門	モン	モン	漢	門	モン	モン	モン	*	*	*	*	*	*	1	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
がいせん	名詞	普通名詞	サ変可能	*	*	*	ガイセン	凱旋	がいせん	ガイセン	ガイセン	漢	がいせん	ガイセン	ガイセン	ガイセン	*	*	*	*	*	*	0	C2	*
もん	助詞	終助詞	*	*	*	*	モノ	もの	もん	モン	モン	和	もん	モン	モン	モン	*	*	*	*	*	*	*	"動詞%F2@0	形容詞F2@-1"	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
据	動詞	一般	*	*	文語四段-ラ行	連用形-一般	スワル	座る	据	スワリ	スワリ	和	据る	スワル	スワル	スワル	*	*	*	*	*	*	0	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
す	動詞	非自立可能	*	*	文語サ行変格	終止形-一般	スル	為る	す	ス	ス	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
ゑ	感動詞	フィラー	*	*	*	*	エー	えー	ゑ	エ	エ	和	ゑ	エ	エ	エ	*	*	*	*	*	*	0	*	*
さ	副詞	*	*	*	*	*	サ	然	さ	サ	サ	和	さ	サ	サ	サ	*	*	*	*	*	*	1	*	*
せ	動詞	非自立可能	*	*	文語サ行変格	未然形-一般	スル	為る	せ	セ	セ	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
し	助動詞	*	*	*	文語助動詞-キ	連体形-一般	キ	き	し	シ	シ	和	き	キ	キ	キ	*	*	*	*	*	*	*	動詞%F4@0	*
なり	助動詞	*	*	*	文語助動詞-ナリ-断定	終止形-一般	ナリ	なり-断定	なり	ナリ	ナリ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
いふ	動詞	一般	*	*	文語四段-ハ行	終止形-一般	イウ	言う	いふ	イウ	イフ	和	いふ	イウ	イフ	イウ	*	*	*	*	*	*	0	C2	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
その	連体詞	*	*	*	*	*	ソノ	其の	その	ソノ	ソノ	和	その	ソノ	ソノ	ソノ	*	*	*	*	*	*	0	*	*
下	名詞	普通名詞	副詞可能	*	*	*	モト	下	下	モト	モト	和	下	モト	モト	モト	*	*	*	*	*	*	2	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
もと	名詞	普通名詞	一般	*	*	*	モト	元	もと	モト	モト	和	もと	モト	モト	モト	*	*	*	*	*	*	"2	0"	C4	*
