保吉	名詞	固有名詞	人名	名	*	*	ヤスキチ	ヤスキチ	保吉	ヤスキチ	ヤスキチ	固	保吉	ヤスキチ	ヤスキチ	ヤスキチ	*	*	*	*	*	*	0	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
手帳	名詞	普通名詞	一般	*	*	*	テチョウ	手帳	手帳	テチョー	テチョウ	混	手帳	テチョー	テチョウ	テチョウ	*	*	*	*	*	*	0	C2	*
から	助詞	格助詞	*	*	*	*	カラ	から	から	カラ	カラ	和	から	カラ	カラ	カラ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1	名詞%F1"	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
わん	助詞	終助詞	*	*	*	*	ワ	わ	わん	ワン	ワン	和	わん	ワン	ワン	ワン	*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
ある	動詞	非自立可能	*	*	文語ラ行変格	連体形-一般	アル	有る	ある	アル	アル	和	あり	アリ	アリ	アリ	*	*	*	*	*	*	1	C3	*
冬	名詞	普通名詞	副詞可能	*	*	*	フユ	冬	冬	フユ	フユ	和	冬	フユ	フユ	フユ	*	*	*	*	*	*	2	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
日	名詞	普通名詞	副詞可能	*	*	*	ヒ	日	日	ヒ	ヒ	和	日	ヒ	ヒ	ヒ	ヒ混合	基本形	*	*	*	*	"0	1"	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
暮	名詞	普通名詞	副詞可能	*	*	*	クレ	暮れ	暮	クレ	クレ	和	暮	クレ	クレ	クレ	ク濁	基本形	*	*	*	*	0	C4	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
保吉	名詞	固有名詞	人名	名	*	*	ヤスキチ	ヤスキチ	保吉	ヤスキチ	ヤスキチ	固	保吉	ヤスキチ	ヤスキチ	ヤスキチ	*	*	*	*	*	*	0	*	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
やすき	形容詞	一般	*	*	文語形容詞-ク	連体形-一般	ヤスイ	安い	やすき	ヤスキ	ヤスキ	和	やすし	ヤスシ	ヤスシ	ヤスシ	*	*	*	*	*	*	1	C1	*
ち	名詞	普通名詞	一般	*	*	*	チ	地	ち	チ	チ	漢	ち	チ	チ	チ	*	*	*	*	*	*	1	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
薄汚	動詞	一般	*	*	文語下二段-ラ行	連用形-一般	ウスヨゴレル	薄汚れる	薄汚	ウスヨゴレ	ウスヨゴレ	和	薄汚る	ウスヨゴル	ウスヨゴル	ウスヨゴル	*	*	*	*	*	*	4	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
うすぎたな	形容詞	一般	*	*	文語形容詞-ク	語幹-一般	ウスギタナイ	薄汚い	うすぎたな	ウスギタナ	ウスギタナ	和	うすぎたなし	ウスギタナシ	ウスギタナシ	ウスギタナシ	*	*	*	*	*	*	5	C1	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
い	助詞	終助詞	*	*	*	*	イ	い	い	イ	イ	和	い	イ	イ	イ	*	*	*	*	*	*	*	名詞%F2@0	*
レストラン	名詞	普通名詞	一般	*	*	*	レストラン	レストラン-restaurant	レストラン	レストラン	レストラン	外	レストラン	レストラン	レストラン	レストラン	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
二	名詞	数詞	*	*	*	*	ニ	二	二	ニ	ニ	漢	二	ニ	ニ	ニ	*	*	*	イ長添	基本形	*	1	C3	*
階	名詞	普通名詞	助数詞可能	*	*	*	カイ	階	階	カイ	カイ	漢	階	カイ	カイ	カイ	カ濁	基本形	*	*	*	B1S6SjShS	1	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
脂臭	形容詞	一般	*	*	形容詞	語幹-一般	ヤニクサイ	脂臭い	脂臭	ヤニクサ	ヤニクサ	和	脂臭い	ヤニクサイ	ヤニクサイ	ヤニクサイ	*	*	*	*	*	*	*	*	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
あぶらくさ	形容詞	一般	*	*	文語形容詞-ク	語幹-一般	アブラクサイ	油臭い	あぶらくさ	アブラクサ	アブラクサ	和	あぶらくさし	アブラクサシ	アブラクサシ	アブラクサシ	*	*	*	*	*	*	5	C1	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
い	感動詞	一般	*	*	*	*	イー	いー	い	イ	イ	和	い	イ	イ	イ	*	*	*	*	*	*	1	*	*
焼	接頭辞	*	*	*	*	*	ショウ	焼	焼	ショー	ショウ	漢	焼	ショー	ショウ	ショウ	*	*	*	*	*	*	*	P2	*
パン	名詞	普通名詞	一般	*	*	*	パン	パン-pan（汎）	パン	パン	パン	外	パン	パン	パン	パン	*	*	*	*	*	*	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
齧	動詞	一般	*	*	文語四段-ハ行	連用形-一般	クラウ	食らう	齧	クライ	クラヒ	和	齧ふ	クラウ	クラフ	クラウ	*	*	*	*	*	*	"0	2"	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
