Author,Writing,Filename,Year,Style,katakana_romaji,romaji_kanji,kanji_katakana
Akutagawa Ryunosuke,Kappa,kappa.txt,1927,,-0.1215474,-0.1005515,0.9179543
Akutagawa Ryunosuke,Haguruma,haguruma.txt,1927,,0.6459856,0.8086595,0.6884672
Akutagawa Ryunosuke,Rashomon,rashomon_kyu.txt,1915,,NA,NA,NA
Akutagawa Ryunosuke,Hana,hana.txt,1916,,NA,NA,NA
Akutagawa Ryunosuke,Imogayu,imogayu.txt,1916,,NA,NA,NA
Akutagawa Ryunosuke,Hankachi,hankechi.txt,1916,,NA,NA,NA
Akutagawa Ryunosuke,Tabako to akuma,tabakoto_akuma.txt,1917,,NA,NA,NA
Akutagawa Ryunosuke,Jigokuhen,jigokuhen_shohan.txt,1918,,NA,NA,NA
Akutagawa Ryunosuke,Kumo no ito,kumono_ito.txt,1918,,NA,NA,NA
Akutagawa Ryunosuke,Chuto,chuto.txt,1917,,NA,NA,NA
Akutagawa Ryunosuke,Gesaku zanmai,gesaku_zanmai.txt,1917,,NA,NA,NA
Akutagawa Ryunosuke,Hokyonin no shi,hokyoninno_shi.txt,1918,,NA,NA,NA
Akutagawa Ryunosuke,Kare no sho,karenosho.txt,1918,,NA,NA,NA
Akutagawa Ryunosuke,Kirishitohoro shoninden,kirishitohoro_shoninden.txt,1919,,NA,NA,NA
Akutagawa Ryunosuke,Mikan,mikan.txt,1919,,NA,NA,NA
Akutagawa Ryunosuke,Butokai,butokai.txt,1920,,NA,NA,NA
Akutagawa Ryunosuke,Aki,aki.txt,1920,,NA,NA,NA
Akutagawa Ryunosuke,Toshishun,toshishun.txt,1920,,NA,NA,NA
Akutagawa Ryunosuke,Yabu no naka,yabuno_naka.txt,1922,,NA,NA,NA
Akutagawa Ryunosuke,Tokokko,torokko.txt,1922,,NA,NA,NA
Akutagawa Ryunosuke,Yasukichi no techo kara,yasukichino_techokara.txt,1923,,NA,NA,NA
Akutagawa Ryunosuke,Genkaku sanbo,genkaku_sanbo.txt,1927,,NA,NA,NA
Akutagawa Ryunosuke,Majutsu,majutsu.txt,1920,,NA,NA,NA
