Filename,Year,No_words,No_katakana,No_romaji,No_kanji,ratio_katakana,ratio_romaji,ratio_kanji,ratio_all_gairaigo
01aru_onna_zenpen.txt,1919,101699,378,94,54,0.003716850706497,0.000924296207436,0.000530978672357,0.005172125586289
01yoakemae1_jo.txt,1929,154408,167,0,35,0.001081550178747,0,0.000226672193151,0.001308222371898
02aru_onna_kohen.txt,1919,139432,204,10,23,0.001463078776751,7.17195478799702E-05,0.000164954960124,0.001699753284755
02yoakemae1_ge.txt,1929,140686,104,0,24,0.000739234891887,0,0.000170592667359,0.000909827559245
03yoakemae2_jo.txt,1929,134960,440,0,30,0.003260225251927,0,0.000222288085359,0.003482513337285
04yoakemae2_ge.txt,1929,158081,77,0,21,0.000487092060399,0,0.0001328432892,0.000619935349599
abe_ichizoku.txt,1913,21759,0,0,0,0,0,0,0
aki.txt,1920,8351,10,0,8,0.00119746138187,0,0.000957969105496,0.002155430487367
bocchan.txt,1906,69079,289,9,22,0.004183615860102,0.00013028561502,0.000318475947828,0.004632377422951
buncho.txt,1908,8820,8,0,11,0.000907029478458,0,0.00124716553288,0.002154195011338
butokai.txt,1920,3914,20,7,13,0.005109862033725,0.001788451711804,0.003321410321921,0.01021972406745
carlyle_hakubutsukan.txt,1905,5592,76,0,21,0.013590844062947,0,0.003755364806867,0.017346208869814
chiisaki_monoe.txt,1918,7389,9,10,2,0.00121802679659,0.001353363107322,0.000270672621464,0.002842062525376
chijinno_ai.txt,1924,126689,1441,91,51,0.01137431031897,0.000718294405986,0.000402560601157,0.012495165326114
chuto.txt,1917,36668,0,0,3,0,0,8.18152067197556E-05,8.18152067197556E-05
fumizukai.txt,1891,11359,65,0,35,0.005722334712563,0,0.003081257152918,0.008803591865481
furyubutsu.txt,1889,37280,24,0,21,0.000643776824034,0,0.00056330472103,0.001207081545064
futon.txt,1907,35203,55,2,35,0.001562366843735,5.68133397721785E-05,0.000994233446013,0.00261341362952
gan.txt,1911,56479,22,43,33,0.000389525310292,0.000761344924662,0.000584287965438,0.001735158200393
genkaku_sanbo.txt,1927,9222,12,3,1,0.001301236174366,0.000325309043591,0.000108436347864,0.001734981565821
gesaku_zanmai.txt,1917,16007,0,0,11,0,0,0.000687199350284,0.000687199350284
gojuno_to.txt,1892,45675,9,0,15,0.000197044334975,0,0.000328407224959,0.000525451559934
gubijinso.txt,1907,163592,115,0,312,0.000702968360311,0,0.001907183725366,0.002610152085677
gyunikuto_bareisho.txt,1901,13147,43,53,24,0.003270708146345,0.004031337947821,0.001825511523542,0.009127557617707
haguruma.txt,1927,18473,212,65,54,0.011476208520544,0.003518648838846,0.002923185189195,0.017918042548585
hakai.txt,1908,173683,16,0,120,9.212185418262E-05,0,0.00069091390637,0.000783035760552
hana.txt,1916,4585,0,0,0,0,0,0,0
hankechi.txt,1916,5398,24,0,16,0.004446091144868,0,0.002964060763246,0.007410151908114
heibon.txt,1907,73139,63,6,25,0.000861373548996,8.20355760948331E-05,0.000341814900395,0.001285224025486
higansugimade.txt,1912,152967,110,16,208,0.000719109350383,0.000104597723692,0.001359770407997,0.002183477482071
hokyoninno_shi.txt,1918,7776,0,7,20,0,0.000900205761317,0.002572016460905,0.003472222222222
ie_ge.txt,1910,112193,58,15,70,0.000516966299145,0.000133698180813,0.000623924843796,0.001274589323755
ie_jyo.txt,1908,101232,44,17,88,0.000434645171487,0.000167931088984,0.000869290342975,0.001471866603446
imogayu.txt,1916,11891,2,0,1,0.000168194432764,0,8.40972163821377E-05,0.000252291649146
inaka_kyoshi.txt,1909,113313,227,21,106,0.002003300592165,0.000185327367557,0.000935461950526,0.003124089910249
jigokuhen_shohan.txt,1918,20029,0,0,0,0,0,0,0
juemonno_saigo.txt,1902,36913,17,1,45,0.000460542356351,2.70907268442012E-05,0.001219082707989,0.001706715791185
jusanya_kyuji.txt,1895,20688,3,0,7,0.000145011600928,0,0.000338360402166,0.000483372003094
kainno_matsuei.txt,1917,25541,25,6,14,0.000978818370463,0.000234916408911,0.000548138287459,0.001761873066834
kankanmusi.txt,1910,7814,150,0,12,0.019196314307653,0,0.001535705144612,0.020732019452265
kappa.txt,1927,24776,843,37,42,0.034024862770423,0.001493380690991,0.001695188892477,0.037213432353891
karenosho.txt,1918,6232,0,0,0,0,0,0,0
kirishitohoro_shoninden.txt,1919,10333,0,0,2,0,0,0.000193554630795,0.000193554630795
kofu.txt,1908,107412,139,0,80,0.001294082597848,0,0.000744795739768,0.002038878337616
kojin.txt,1912,172482,117,106,157,0.000678331651998,0.000614556881298,0.000910239909092,0.002203128442388
kokoro.txt,1914,123220,38,411,57,0.000308391494887,0.003335497484175,0.000462587242331,0.004106476221393
konjikiyasha.txt,1897,255116,112,7,222,0.000439015977046,2.74384985653585E-05,0.000870192383073,0.001336646858684
koyahijiri.txt,1900,57211,0,0,16,0,0,0.000279666497701,0.000279666497701
kumono_ito.txt,1918,2135,0,0,0,0,0,0,0
kusamakura.txt,1906,72382,70,70,32,0.000967091265784,0.000967091265784,0.000442098864359,0.002376281395927
london.txt,1905,13591,84,167,22,0.006180560665146,0.012287543227136,0.001618718269443,0.020086822161725
maihime.txt,1890,11880,81,0,15,0.006818181818182,0,0.001262626262626,0.008080808080808
majutsu.txt,1920,5284,123,0,20,0.02327781983346,0,0.003785011355034,0.027062831188494
manji.txt,1928,91431,217,53,8,0.002373374457241,0.00057967210246,8.74976758429854E-05,0.003040544235544
mikan.txt,1919,5050,2,0,13,0.00039603960396,0,0.002574257425743,0.002970297029703
mon.txt,1910,237277,41,3,128,0.000172793823253,1.26434504819262E-05,0.000539453887229,0.000724891160964
moso.txt,1911,10757,43,72,20,0.003997397043785,0.006693315980292,0.00185925443897,0.012549967463047
mumeisakkano_nikki.txt,1918,14360,39,5,14,0.002715877437326,0.000348189415042,0.000974930362117,0.004038997214485
musashino.txt,1898,11476,7,21,1,0.000609968630185,0.001829905890554,8.71383757406762E-05,0.00252701289648
nigorie.txt,1895,31590,0,0,7,0,0,0.000221589110478,0.000221589110478
nihyakutoka.txt,1906,22987,15,0,11,0.00065254274155,0,0.000478531343803,0.001131074085353
okitsu_yagoemonno_isho.txt,1912,7010,0,0,0,0,0,0,0
onnakeizu.txt,1907,147532,101,17,174,0.000684597239921,0.000115229238403,0.001179405146002,0.001979231624326
onshuno_kanatani.txt,1919,16701,1,0,0,5.98766540925693E-05,0,0,5.98766540925693E-05
rashomon_kyu.txt,1915,5526,0,1,0,0,0.000180962721679,0,0.000180962721679
sanshiro.txt,1908,113308,363,44,84,0.0032036572881,0.000388322095527,0.00074134218237,0.004333321565997
sanshodayu.txt,1915,16981,0,0,0,0,0,0,0
seinen.txt,1911,92889,277,345,70,0.002982053849218,0.00371411038982,0.000753587615326,0.007449751854364
shibue_chusai.txt,1916,156607,45,0,39,0.000287343477622,0,0.000249031013939,0.000536374491562
shinju_fujin_kyukana.txt,1920,213702,412,17,386,0.00192791831616,7.9550027608539E-05,0.001806253568053,0.003813721911821
